d_lat,d_int,seed,hidden,sigma_noise,step,is_final,test_loss,train_loss,C,C_per_dim,corrected_error,corrected_error_per_dim,corrected_error_per_dim_popC,logged_score_error_BUGGY,C_bug_per_dim,mismatch_per_dim,memorization_fraction
20,12,42,256,0.5,1,0,1.011784553527832,1.0009756088256836,79.90989685058594,3.995494842529297,31.72344092822665,1.5861720464113325,1.6217894933107466,2.195699691772461,4.799185562133789,0.7887787818908691,0.0
20,12,42,256,0.5,5000,0,0.7545437335968017,0.7298293113708496,79.90989685058594,3.995494842529297,3.341260906074865,0.16706304530374325,0.20268049220315731,0.8213144302368164,4.799185562133789,0.7887787818908691,0.0
20,12,42,256,0.5,10000,0,0.7438658237457275,0.7056715011596679,79.90989685058594,3.995494842529297,2.1631338897842483,0.10815669448921242,0.1437741413886265,0.8557610511779785,4.799185562133789,0.7887787818908691,0.0
20,12,42,256,0.5,15000,0,0.7423194408416748,0.7181215286254883,79.90989685058594,3.995494842529297,1.9925166526841167,0.09962583263420584,0.1352432795336199,0.8769511222839356,4.799185562133789,0.7887787818908691,0.0
20,12,42,256,0.5,20000,0,0.7449333190917968,0.6990437984466553,79.90989685058594,3.995494842529297,2.280913972638402,0.11404569863192009,0.14966314553133414,0.9049242019653321,4.799185562133789,0.7887787818908691,0.0
20,12,42,256,0.5,25000,0,0.7486807823181152,0.7003482341766357,79.90989685058594,3.995494842529297,2.6943832499649147,0.13471916249824573,0.1703366093976598,0.9273229598999023,4.799185562133789,0.7887787818908691,0.0
20,12,42,256,0.5,30000,0,0.7524549007415772,0.676794958114624,79.90989685058594,3.995494842529297,3.1107934781251885,0.15553967390625942,0.19115712080567349,0.9413628578186035,4.799185562133789,0.7887787818908691,0.0
20,12,42,256,0.5,35000,0,0.7586995124816894,0.6565306186676025,79.90989685058594,3.995494842529297,3.799780920413042,0.18998904602065209,0.22560649292006615,0.9788076400756835,4.799185562133789,0.7887787818908691,0.0
20,12,42,256,0.5,40000,0,0.7640398979187012,0.659102201461792,79.90989685058594,3.995494842529297,4.389002261340124,0.2194501130670062,0.2550675599664203,0.9885069847106933,4.799185562133789,0.7887787818908691,0.0
20,12,42,256,0.5,45000,0,0.7727251052856445,0.6507000923156738,79.90989685058594,3.995494842529297,5.347268212616427,0.26736341063082136,0.3029808575302354,1.0438157081604005,4.799185562133789,0.7887787818908691,0.0
20,12,42,256,0.5,50000,0,0.7793685913085937,0.6430180072784424,79.90989685058594,3.995494842529297,6.080264695556224,0.30401323477781117,0.33963068167722527,1.0659038543701171,4.799185562133789,0.7887787818908691,0.0
20,12,42,256,0.5,55000,0,0.7878520965576172,0.6160087585449219,79.90989685058594,3.995494842529297,7.016276224602066,0.3508138112301033,0.3864312581295174,1.1073963165283203,4.799185562133789,0.7887787818908691,0.0
20,12,42,256,0.5,60000,0,0.7980813980102539,0.6036676406860352,79.90989685058594,3.995494842529297,8.144906880527657,0.40724534402638285,0.4428627909257969,1.1708675384521485,4.799185562133789,0.7887787818908691,0.0
20,12,42,256,0.5,65000,0,0.8147434234619141,0.5905035972595215,79.90989685058594,3.995494842529297,9.98327998954467,0.4991639994772335,0.5347814463766476,1.2390012741088867,4.799185562133789,0.7887787818908691,0.0
20,12,42,256,0.5,70000,0,0.8224510192871094,0.5804344177246094,79.90989685058594,3.995494842529297,10.833683017755092,0.5416841508877546,0.5773015977871687,1.286040687561035,4.799185562133789,0.7887787818908691,0.0
20,12,42,256,0.5,75000,0,0.8342697143554687,0.569508409500122,79.90989685058594,3.995494842529297,12.137676416419538,0.6068838208209769,0.642501267720391,1.3575542449951172,4.799185562133789,0.7887787818908691,0.0
20,12,42,256,0.5,80000,0,0.8484149932861328,0.5433134078979492,79.90989685058594,3.995494842529297,13.698369051364878,0.6849184525682439,0.720535899467658,1.4241195678710938,4.799185562133789,0.7887787818908691,0.0
20,12,42,256,0.5,85000,0,0.8627433776855469,0.5583858489990234,79.90989685058594,3.995494842529297,15.279264282377568,0.7639632141188784,0.7995806610182925,1.5135626792907715,4.799185562133789,0.7887787818908691,0.0
20,12,42,256,0.5,90000,0,0.8750364303588867,0.5277092456817627,79.90989685058594,3.995494842529297,16.635595031479014,0.8317797515739507,0.8673971984733647,1.571484375,4.799185562133789,0.7887787818908691,0.0
20,12,42,256,0.5,95000,0,0.8873888969421386,0.5054571151733398,79.90989685058594,3.995494842529297,17.998481102116912,0.8999240551058456,0.9355415020052597,1.6416728973388672,4.799185562133789,0.7887787818908691,0.0
20,12,42,256,0.5,100000,0,0.9065526962280274,0.5193181991577148,79.90989685058594,3.995494842529297,20.112882702089678,1.0056441351044838,1.041261582003898,1.719655990600586,4.799185562133789,0.7887787818908691,0.0
20,12,42,256,0.5,105000,0,0.9164711952209472,0.5182193756103516,79.90989685058594,3.995494842529297,21.20722155562801,1.0603610777814005,1.0959785246808145,1.7684425354003905,4.799185562133789,0.7887787818908691,0.0
20,12,42,256,0.5,110000,0,0.9294435501098632,0.49185848236083984,79.90989685058594,3.995494842529297,22.63850183170227,1.1319250915851136,1.1675425384845277,1.859206199645996,4.799185562133789,0.7887787818908691,0.00019999999494757503
20,12,42,256,0.5,115000,0,0.9493462562561035,0.4815534114837646,79.90989685058594,3.995494842529297,24.834429324555202,1.24172146622776,1.2773389131271742,1.9324214935302735,4.799185562133789,0.7887787818908691,0.0
20,12,42,256,0.5,120000,0,0.9654621124267578,0.4778433799743652,79.90989685058594,3.995494842529297,26.612541877490045,1.3306270938745022,1.3662445407739163,2.025797653198242,4.799185562133789,0.7887787818908691,0.0
20,12,42,256,0.5,125000,0,0.9807126998901368,0.4495509147644043,79.90989685058594,3.995494842529297,28.29518664182116,1.414759332091058,1.450376778990472,2.0931396484375,4.799185562133789,0.7887787818908691,0.0
20,12,42,256,0.5,130000,0,0.9879253387451172,0.4534128189086914,79.90989685058594,3.995494842529297,29.090979527536987,1.4545489763768493,1.4901664232762635,2.144643020629883,4.799185562133789,0.7887787818908691,0.0
20,12,42,256,0.5,135000,0,1.0130569458007812,0.4407754898071289,79.90989685058594,3.995494842529297,31.863827926523896,1.5931913963261948,1.628808843225609,2.2613569259643556,4.799185562133789,0.7887787818908691,0.0
20,12,42,256,0.5,140000,0,1.018910789489746,0.436023473739624,79.90989685058594,3.995494842529297,32.50970071392321,1.6254850356961605,1.6611024825955745,2.2840417861938476,4.799185562133789,0.7887787818908691,0.00019999999494757503
20,12,42,256,0.5,145000,0,1.037145233154297,0.42562575340270997,79.90989685058594,3.995494842529297,34.52156361666867,1.7260781808334336,1.7616956277328477,2.373626136779785,4.799185562133789,0.7887787818908691,0.00019999999494757503
