d_lat,C_per_dim,C_bug_per_dim,mismatch_per_dim,corrected_mean,corrected_sd,buggy_mean,buggy_minus_corrected,test_loss,n_seeds,zero_score_baseline,min_over_steps,argmin_step
5,4.8505,4.8505,0.0,1.7138,0.0,1.7452,0.0313,1.1899,1,0.72,0.0913,25000
8,4.1679,4.7326,0.568,1.7784,0.0,2.3299,0.5515,1.0779,1,1.424,0.1205,20000
10,3.8794,4.6389,0.763,1.7571,0.0,2.4321,0.675,1.0217,1,1.6557,0.1097,20000
15,3.596,4.3712,0.7947,1.8022,0.0,2.4622,0.6599,0.9785,1,1.9644,0.091,10000
20,3.4424,3.9573,0.5086,1.7035,0.0,2.1065,0.403,0.9328,1,2.1209,0.097,15000
30,3.2529,3.6788,0.4276,1.3726,0.0,1.786,0.4133,0.8385,1,2.2811,0.0733,20000
40,3.1785,3.5343,0.3587,1.0488,0.0,1.4129,0.3642,0.7663,1,2.3576,0.0852,30000
100,3.0338,3.1786,0.1488,0.1302,0.0,0.2963,0.166,0.5735,1,2.4985,0.1234,220000
150,2.998,3.0998,0.1027,0.4209,0.0,0.5226,0.1017,0.6197,1,2.5301,0.401,210000
200,2.9739,3.0481,0.0772,0.5756,0.0,0.6241,0.0485,0.6434,1,2.5452,0.5756,300000
