d_lat,C_per_dim,C_bug_per_dim,mismatch_per_dim,corrected_mean,corrected_sd,buggy_mean,buggy_minus_corrected,test_loss,n_seeds,zero_score_baseline,min_over_steps,argmin_step
5,4.8505,4.8505,0.0,0.1454,0.0,0.1415,-0.0038,0.9056,1,0.72,0.1009,155000
8,4.1679,4.7326,0.568,0.2104,0.0,0.8172,0.6069,0.7937,1,1.424,0.1038,80000
10,3.8794,4.6389,0.763,0.2642,0.0,1.0466,0.7824,0.7511,1,1.6557,0.0923,55000
15,3.596,4.3712,0.7947,0.3695,0.0,1.159,0.7895,0.7188,1,1.9644,0.0793,40000
20,3.4424,3.9573,0.5086,0.6459,0.0,1.1344,0.4885,0.7411,1,2.1209,0.0892,20000
30,3.2529,3.6788,0.4276,1.1865,0.0,1.6084,0.4219,0.8047,1,2.2811,0.0775,25000
40,3.1785,3.5343,0.3587,1.5772,0.0,1.9023,0.3251,0.8621,1,2.3576,0.0885,20000
50,3.1325,3.4012,0.275,1.8602,0.0,2.0643,0.2041,0.905,1,2.4041,0.0805,20000
100,3.0338,3.1786,0.1488,2.5892,0.0,2.6024,0.0132,1.0193,1,2.4985,0.1024,15000
150,2.998,3.0998,0.1027,2.9555,0.0,2.9074,-0.0481,1.0792,1,2.5301,0.1153,15000
200,2.9739,3.0481,0.0772,3.2776,0.0,3.2128,-0.0648,1.1332,1,2.5452,0.1401,15000
