d_lat,C_per_dim,C_bug_per_dim,mismatch_per_dim,corrected_mean,corrected_sd,buggy_mean,buggy_minus_corrected,test_loss,n_seeds,zero_score_baseline,min_over_steps,argmin_step
5,4.8225,4.8225,0.0,2.5895,0.2168,2.5964,0.0069,1.3436,5,0.7089,0.2162,50000
8,4.1395,4.7346,0.6009,2.3532,0.1153,2.8471,0.4939,1.1769,5,1.4154,0.2586,50000
10,3.8733,4.6001,0.742,2.3116,0.0799,2.9775,0.6659,1.1211,5,1.6497,0.2738,50000
12,3.727,4.447,0.7352,2.3088,0.0719,2.9182,0.6094,1.0941,5,1.8059,0.2618,50000
15,3.5737,4.29,0.7143,2.2591,0.0726,2.8324,0.5734,1.0573,5,1.9634,0.2351,50000
20,3.3985,3.982,0.583,2.2882,0.0611,2.7098,0.4216,1.0308,5,2.12,0.1849,50000
25,3.3129,3.8081,0.5093,2.3111,0.0423,2.6389,0.3278,1.0195,5,2.2134,0.1622,50000
30,3.2471,3.6766,0.4344,2.3366,0.07,2.5861,0.2496,1.0121,5,2.2776,0.1347,50000
35,3.1909,3.568,0.3778,2.3418,0.0487,2.5304,0.1886,1.0029,5,2.3226,0.1127,50000
40,3.1595,3.5168,0.3584,2.3501,0.0279,2.5029,0.1528,0.9987,5,2.3555,0.0944,50000
60,3.0851,3.3288,0.2424,1.8876,0.0796,2.0313,0.1438,0.9014,5,2.4346,0.11,50000
80,3.0513,3.236,0.1841,1.4659,0.0507,1.6058,0.1399,0.8188,5,2.4734,0.1008,150000
100,3.0197,3.1715,0.1514,1.3165,0.0235,1.4568,0.1402,0.786,5,2.497,0.1286,250000
120,3.0029,3.128,0.1262,1.0816,0.0338,1.2465,0.1649,0.7404,5,2.5128,0.2398,300000
140,2.9972,3.1073,0.11,0.9375,0.0234,1.0676,0.1302,0.7132,5,2.5232,0.345,200000
160,2.989,3.0851,0.0964,0.8233,0.0243,0.9254,0.1021,0.6911,5,2.5319,0.4525,200000
180,2.9795,3.0655,0.0861,0.61,0.016,0.6818,0.0718,0.6507,5,2.5385,0.5504,250000
200,2.976,3.0527,0.0778,0.5249,0.0062,0.5807,0.0558,0.6346,5,2.5439,0.5247,4950000
220,2.9674,3.0386,0.0707,0.5298,0.003,0.578,0.0482,0.6339,5,2.5481,0.5292,4650000
240,2.9704,3.035,0.0651,0.5277,0.0042,0.5744,0.0467,0.6341,5,2.5515,0.5273,4650000
