d_lat,C_per_dim,C_bug_per_dim,mismatch_per_dim,corrected_mean,corrected_sd,buggy_mean,buggy_minus_corrected,test_loss,n_seeds,zero_score_baseline,min_over_steps,argmin_step
5,4.8225,4.8225,0.0,0.8203,0.0794,0.8322,0.0119,1.0229,5,0.7089,0.0998,100000
8,4.1395,4.7346,0.6009,1.2378,0.095,1.7975,0.5597,0.9747,5,1.4154,0.1004,50000
10,3.8733,4.6001,0.742,1.5406,0.0659,2.1788,0.6382,0.9814,5,1.6497,0.1018,50000
12,3.727,4.447,0.7352,1.7151,0.0334,2.3173,0.6022,0.9865,5,1.8059,0.1004,50000
15,3.5737,4.29,0.7143,1.8614,0.0786,2.4087,0.5472,0.9852,5,1.9634,0.0961,50000
20,3.3985,3.982,0.583,2.1309,0.056,2.5196,0.3887,1.0023,5,2.12,0.1023,50000
25,3.3129,3.8081,0.5093,2.2905,0.054,2.5989,0.3084,1.0157,5,2.2134,0.1137,50000
30,3.2471,3.6766,0.4344,2.3706,0.0964,2.607,0.2364,1.0183,5,2.2776,0.1195,50000
35,3.1909,3.568,0.3778,2.3277,0.05,2.5227,0.195,1.0003,5,2.3226,0.1359,50000
40,3.1595,3.5168,0.3584,2.3185,0.0259,2.5016,0.1831,0.993,5,2.3555,0.1444,50000
