seed,d,step,mem
42,10,1,0.0
42,10,10000,
42,10,20000,
42,10,30000,
42,10,40000,
42,10,50000,
42,10,60000,
42,10,70000,
42,10,80000,
42,10,90000,
42,10,100000,0.0
42,10,110000,
42,10,120000,
42,10,130000,
42,10,140000,
42,10,150000,
42,10,160000,
42,10,170000,
42,10,180000,
42,10,190000,
42,10,200000,0.0
42,10,210000,
42,10,220000,
42,10,230000,
42,10,240000,
42,10,250000,
42,10,260000,
42,10,270000,
42,10,280000,
42,10,290000,
42,10,300000,0.0
42,10,310000,
42,10,320000,
42,10,330000,
42,10,340000,
42,10,350000,
42,10,360000,
42,10,370000,
42,10,380000,
42,10,390000,
42,10,400000,0.0
42,10,410000,
42,10,420000,
42,10,430000,
42,10,440000,
42,10,450000,
42,10,460000,
42,10,470000,
42,10,480000,
42,10,490000,
42,10,500000,0.0006000000284984708
42,10,510000,
42,10,520000,
42,10,530000,
42,10,540000,
42,10,550000,
42,10,560000,
42,10,570000,
42,10,580000,
42,10,590000,
42,10,600000,0.0027000000700354576
42,10,610000,
42,10,620000,
42,10,630000,
42,10,640000,
42,10,650000,
42,10,660000,
42,10,670000,
42,10,680000,
42,10,690000,
42,10,700000,0.003000000026077032
42,10,710000,
42,10,720000,
42,10,730000,
42,10,740000,
42,10,750000,
42,10,760000,
42,10,770000,
42,10,780000,
42,10,790000,
42,10,800000,0.00430000014603138
42,10,810000,
42,10,820000,
42,10,830000,
42,10,840000,
42,10,850000,
42,10,860000,
42,10,870000,
42,10,880000,
42,10,890000,
42,10,900000,0.0032999999821186066
42,10,910000,
42,10,920000,
42,10,930000,
42,10,940000,
42,10,950000,
42,10,960000,
42,10,970000,
42,10,980000,
42,10,990000,
42,10,1000000,0.0035000001080334187
42,10,1010000,
42,10,1020000,
42,10,1030000,
42,10,1040000,
42,10,1050000,
42,10,1060000,
42,10,1070000,
42,10,1080000,
42,10,1090000,
42,10,1100000,0.002899999963119626
42,10,1110000,
42,10,1120000,
42,10,1130000,
42,10,1140000,
42,10,1150000,
42,10,1160000,
42,10,1170000,
42,10,1180000,
42,10,1190000,
42,10,1200000,0.0044999998062849045
42,10,1210000,
42,10,1220000,
42,10,1230000,
42,10,1240000,
42,10,1250000,
42,10,1260000,
42,10,1270000,
42,10,1280000,
42,10,1290000,
42,10,1300000,0.00430000014603138
42,10,1310000,
42,10,1320000,
42,10,1330000,
42,10,1340000,
42,10,1350000,
42,10,1360000,
42,10,1370000,
42,10,1380000,
42,10,1390000,
42,10,1400000,0.004800000227987766
42,10,1410000,
42,10,1420000,
42,10,1430000,
42,10,1440000,
42,10,1450000,
42,10,1460000,
42,10,1470000,
42,10,1480000,
42,10,1490000,
42,10,1500000,0.0034000000450760126
42,10,1510000,
42,10,1520000,
42,10,1530000,
42,10,1540000,
42,10,1550000,
42,10,1560000,
42,10,1570000,
42,10,1580000,
42,10,1590000,
42,10,1600000,0.004900000058114529
42,10,1610000,
42,10,1620000,
42,10,1630000,
42,10,1640000,
42,10,1650000,
42,10,1660000,
42,10,1670000,
42,10,1680000,
42,10,1690000,
42,10,1700000,0.004600000102072954
42,10,1710000,
42,10,1720000,
42,10,1730000,
42,10,1740000,
42,10,1750000,
42,10,1760000,
42,10,1770000,
42,10,1780000,
42,10,1790000,
42,10,1800000,0.005900000222027302
42,10,1810000,
42,10,1820000,
42,10,1830000,
42,10,1840000,
42,10,1850000,
42,10,1860000,
42,10,1870000,
42,10,1880000,
42,10,1890000,
42,10,1900000,0.004600000102072954
42,10,1910000,
42,10,1920000,
42,10,1930000,
42,10,1940000,
42,10,1950000,
42,10,1960000,
42,10,1970000,
42,10,1980000,
42,10,1990000,
42,10,2000000,0.004000000189989805
42,10,2010000,
42,10,2020000,
42,10,2030000,
42,10,2040000,
42,10,2050000,
42,10,2060000,
42,10,2070000,
42,10,2080000,
42,10,2090000,
42,10,2100000,0.004699999932199717
42,10,2110000,
42,10,2120000,
42,10,2130000,
42,10,2140000,
42,10,2150000,
42,10,2160000,
42,10,2170000,
42,10,2180000,
42,10,2190000,
42,10,2200000,0.0038999998942017555
42,10,2210000,
42,10,2220000,
42,10,2230000,
42,10,2240000,
42,10,2250000,
42,10,2260000,
42,10,2270000,
42,10,2280000,
42,10,2290000,
42,10,2300000,0.004999999888241291
42,10,2310000,
42,10,2320000,
42,10,2330000,
42,10,2340000,
42,10,2350000,
42,10,2360000,
42,10,2370000,
42,10,2380000,
42,10,2390000,
42,10,2400000,0.006399999838322401
42,10,2410000,
42,10,2420000,
42,10,2430000,
42,10,2440000,
42,10,2450000,
42,10,2460000,
42,10,2470000,
42,10,2480000,
42,10,2490000,
42,10,2500000,0.005900000222027302
42,10,2510000,
42,10,2520000,
42,10,2530000,
42,10,2540000,
42,10,2550000,
42,10,2560000,
42,10,2570000,
42,10,2580000,
42,10,2590000,
42,10,2600000,0.005900000222027302
42,10,2610000,
42,10,2620000,
42,10,2630000,
42,10,2640000,
42,10,2650000,
42,10,2660000,
42,10,2670000,
42,10,2680000,
42,10,2690000,
42,10,2700000,0.006599999964237213
42,10,2710000,
42,10,2720000,
42,10,2730000,
42,10,2740000,
42,10,2750000,
42,10,2760000,
42,10,2770000,
42,10,2780000,
42,10,2790000,
42,10,2800000,0.004999999888241291
42,10,2810000,
42,10,2820000,
42,10,2830000,
42,10,2840000,
42,10,2850000,
42,10,2860000,
42,10,2870000,
42,10,2880000,
42,10,2890000,
42,10,2900000,0.00559999980032444
42,10,2910000,
42,10,2920000,
42,10,2930000,
42,10,2940000,
42,10,2950000,
42,10,2960000,
42,10,2970000,
42,10,2980000,
42,10,2990000,
42,10,3000000,0.004900000058114529
42,10,3010000,
42,10,3020000,
42,10,3030000,
42,10,3040000,
42,10,3050000,
42,10,3060000,
42,10,3070000,
42,10,3080000,
42,10,3090000,
42,10,3100000,0.006899999920278788
42,10,3110000,
42,10,3120000,
42,10,3130000,
42,10,3140000,
42,10,3150000,
42,10,3160000,
42,10,3170000,
42,10,3180000,
42,10,3190000,
42,10,3200000,0.006200000178068876
42,10,3210000,
42,10,3220000,
42,10,3230000,
42,10,3240000,
42,10,3250000,
42,10,3260000,
42,10,3270000,
42,10,3280000,
42,10,3290000,
42,10,3300000,0.004900000058114529
42,10,3310000,
42,10,3320000,
42,10,3330000,
42,10,3340000,
42,10,3350000,
42,10,3360000,
42,10,3370000,
42,10,3380000,
42,10,3390000,
