d,threshold,tau_obs_mean,tau_obs_sd,tau_obs_ci95,obs_n,censored_n
10,0.01,,,,0,5
10,0.05,,,,0,5
10,0.1,,,,0,5
10,0.25,,,,0,5
10,0.5,,,,0,5
10,0.75,,,,0,5
20,0.01,480000.0,44721.359549995796,55528.902103955974,5,0
20,0.05,1340000.0,54772.25575051661,68008.73806582569,5,0
20,0.1,,,,0,5
20,0.25,,,,0,5
20,0.5,,,,0,5
20,0.75,,,,0,5
30,0.01,300000.0,0.0,0.0,5,0
30,0.05,500000.0,0.0,0.0,5,0
30,0.1,760000.0,54772.25575051661,68008.73806582569,5,0
30,0.25,2140000.0,89442.71909999159,111057.80420791195,5,0
30,0.5,,,,0,5
30,0.75,,,,0,5
40,0.01,200000.0,0.0,0.0,5,0
40,0.05,340000.0,54772.25575051661,68008.73806582569,5,0
40,0.1,500000.0,0.0,0.0,5,0
40,0.25,1000000.0,0.0,0.0,5,0
40,0.5,2500000.0,70710.67811865476,87798.90330850845,5,0
40,0.75,,,,0,5
50,0.01,200000.0,0.0,0.0,5,0
50,0.05,300000.0,0.0,0.0,5,0
50,0.1,400000.0,0.0,0.0,5,0
50,0.25,800000.0,0.0,0.0,5,0
50,0.5,1520000.0,44721.359549995796,55528.902103955974,5,0
50,0.75,3920000.0,148323.96974191326,184168.5332991985,5,0
60,0.01,200000.0,0.0,0.0,5,0
60,0.05,300000.0,0.0,0.0,5,0
60,0.1,400000.0,0.0,0.0,5,0
60,0.25,800000.0,0.0,0.0,5,0
60,0.5,1420000.0,44721.359549995796,55528.902103955974,5,0
60,0.75,2680000.0,83666.00265340756,103885.06336835696,5,0
70,0.01,200000.0,0.0,0.0,5,0
70,0.05,300000.0,0.0,0.0,5,0
70,0.1,400000.0,0.0,0.0,5,0
70,0.25,800000.0,0.0,0.0,5,0
70,0.5,1400000.0,0.0,0.0,5,0
70,0.75,2460000.0,89442.71909999159,111057.80420791195,5,0
80,0.01,200000.0,0.0,0.0,5,0
80,0.05,320000.0,44721.359549995796,55528.902103955974,5,0
80,0.1,500000.0,0.0,0.0,5,0
80,0.25,900000.0,0.0,0.0,5,0
80,0.5,1480000.0,83666.00265340756,103885.06336835696,5,0
80,0.75,2700000.0,70710.67811865476,87798.90330850845,5,0
90,0.01,200000.0,0.0,0.0,5,0
90,0.05,400000.0,0.0,0.0,5,0
90,0.1,580000.0,44721.359549995796,55528.902103955974,5,0
90,0.25,1000000.0,0.0,0.0,5,0
90,0.5,1680000.0,44721.359549995796,55528.902103955974,5,0
90,0.75,3000000.0,70710.67811865476,87798.90330850845,5,0
100,0.01,200000.0,0.0,0.0,5,0
100,0.05,400000.0,0.0,0.0,5,0
100,0.1,640000.0,54772.25575051661,68008.73806582569,5,0
100,0.25,1180000.0,44721.359549995796,55528.902103955974,5,0
100,0.5,1880000.0,83666.00265340756,103885.06336835696,5,0
100,0.75,4200000.0,141421.35623730952,175597.8066170169,5,0
120,0.01,300000.0,0.0,0.0,5,0
120,0.05,600000.0,0.0,0.0,5,0
120,0.1,900000.0,70710.67811865476,87798.90330850845,5,0
120,0.25,1540000.0,54772.25575051661,68008.73806582569,5,0
120,0.5,2480000.0,83666.00265340756,103885.06336835696,5,0
120,0.75,5000000.0,0.0,0.0,1,4
140,0.01,400000.0,0.0,0.0,5,0
140,0.05,700000.0,0.0,0.0,5,0
140,0.1,920000.0,44721.359549995796,55528.902103955974,5,0
140,0.25,1460000.0,54772.25575051661,68008.73806582569,5,0
140,0.5,2460000.0,114017.5425099138,141571.47769822748,5,0
140,0.75,4850000.0,70710.67811865476,138822.25525988993,2,3
160,0.01,540000.0,54772.25575051661,68008.73806582569,5,0
160,0.05,920000.0,83666.00265340756,103885.06336835696,5,0
160,0.1,1140000.0,54772.25575051661,68008.73806582569,5,0
160,0.25,1760000.0,134164.07864998738,166586.70631186792,5,0
160,0.5,3440000.0,364691.65057620936,452824.49296598707,5,0
160,0.75,,,,0,5
180,0.01,720000.0,44721.359549995796,55528.902103955974,5,0
180,0.05,1080000.0,44721.359549995796,55528.902103955974,5,0
180,0.1,1360000.0,54772.25575051661,68008.73806582569,5,0
180,0.25,2160000.0,114017.5425099138,141571.47769822748,5,0
180,0.5,4440000.0,250998.00796022266,311655.1901050709,5,0
180,0.75,,,,0,5
200,0.01,720000.0,44721.359549995796,55528.902103955974,5,0
200,0.05,1160000.0,54772.25575051661,68008.73806582569,5,0
200,0.1,1560000.0,54772.25575051661,68008.73806582569,5,0
200,0.25,2480000.0,109544.51150103322,136017.47613165138,5,0
200,0.5,,,,0,5
200,0.75,,,,0,5
