d,t,n,lambda_max,lambda_min,lambda_median,lambda_mean,beta_floor,effective_rank_excess,effective_rank_centered_excess,buffer_proxy,eta_star,z_normsq_over_d_mean,z_normsq_over_d_std
10,0.1,1000,3.634790208371709,1.6956928685986856,2.516345008817979,2.5751694628395883,1.888909028848664,5.979108262459745,5.854174649446947,4.0,30.00953284737072,2.9239163264819448,1.4010299165689717
20,0.1,1000,3.1257427907718047,0.9072859161065694,1.5660891795245526,1.7253564996262305,1.0480660384296994,10.912538273100754,10.977319084150729,9.0,7.110576620915573,1.8859524292928835,0.6587312370596197
30,0.1,1000,3.746589391059357,0.753883007738382,1.4441949063473434,1.707860103874986,0.9498076937463944,15.05313418198634,15.082438476645123,15.0,6.343196476525572,1.8645822832644527,0.5595382753464427
40,0.1,1000,4.7459170503067964,0.7377570597661907,1.4788221212161226,1.8012377700362197,0.9027726288407828,19.070251050156227,19.059334465790126,21.0,7.341340412758665,1.9786340222643437,0.5806718783848622
50,0.1,1000,4.564953823993612,0.7104403716319996,1.5158852044963758,1.8340534285021093,0.9143492787128502,23.561407170349888,23.47612017656118,26.0,7.386808835268667,2.0187151580254223,0.5192960579843037
60,0.1,1000,4.851858979079018,0.671128278125477,1.4492826014590126,1.8361224688368296,0.8476608183271437,28.163737684442196,28.17820829228839,32.0,7.344308745334338,2.0212422895969944,0.5115113099555799
70,0.1,1000,5.314399128022593,0.6483069308532861,1.46118621536473,1.832835357348544,0.8645981956440577,31.25102385592147,31.419096425529627,39.0,7.210043282322734,2.017227402558823,0.4911943119831322
80,0.1,1000,5.673081071096486,0.648464593850304,1.4784771246774444,1.8235835187470424,0.8582594717070382,36.37608042334981,36.66536034392068,44.0,6.995339200785045,2.0059271813728974,0.4627182646956514
90,0.1,1000,5.43457809688858,0.6295159891725455,1.4913532387241426,1.813255268225098,0.860081123911899,40.73232635605397,41.05452018785351,49.0,6.847376718099789,1.993312227698425,0.4584562323964691
100,0.1,1000,5.657185329590582,0.6266654856842471,1.4413347309816724,1.8075040103850637,0.8579916581202086,44.891735813961226,45.03431741560579,55.0,6.811816151674721,1.986287625509716,0.4647074335614694
120,0.1,1000,5.924979121547962,0.6065211520283509,1.4180478070835716,1.7516210266023005,0.8273577861104919,52.41024756291258,52.75693320459802,68.0,6.152386217531307,1.9180319949832296,0.4393708059252098
140,0.1,1000,6.378934606922863,0.1814541288749991,1.2954944684075531,1.6173412068726003,0.7209918804126916,60.22135935159361,60.90108207848683,80.0,4.835675125127565,1.7540222528001228,0.403037437716454
160,0.1,1000,6.198739440971036,0.1813288632501359,1.2030492501122976,1.4734082173560092,0.1894485703079546,89.47761219473993,90.23820466448392,71.0,3.637047603723103,1.5782221024143197,0.3613855853269972
180,0.1,1000,6.08711029437212,0.1812949083025073,1.0876796391093395,1.3421482326815015,0.1815145783201642,90.3400765371294,91.0219565781117,90.0,2.7334821692414697,1.4179007950968148,0.3209959167193989
200,0.1,1000,6.643893477844088,0.1812832755305578,0.9789976064094694,1.247258893935434,0.1813563212829699,87.88086387701023,88.65252228817666,112.0,2.180998556059617,1.3020026950323726,0.2905250890403023
