d,threshold,tau_obs_mean,tau_obs_sd,tau_obs_ci95,obs_n,censored_n,tau_pred,residual_steps,residual_log,theta,kappa
10.0,0.01,,,,0.0,5.0,201428.22277125076,,,0.2557987887176989,1.3593563908785242e-06
10.0,0.05,,,,0.0,5.0,313392.6465241249,,,0.4365968761570915,1.3593563908785242e-06
10.0,0.1,,,,0.0,5.0,377935.1318189978,,,0.5266252382965828,1.3593563908785242e-06
10.0,0.25,,,,0.0,5.0,591813.4252663734,,,0.7422582976356743,1.3593563908785242e-06
10.0,0.5,,,,0.0,5.0,873054.6862053808,,,0.8862057720584068,1.3593563908785242e-06
10.0,0.75,,,,0.0,5.0,1410713.7814879592,,,0.975317503593595,1.3593563908785242e-06
20.0,0.01,480000.0,44721.359549995796,55528.902103955974,5.0,0.0,301527.8245100146,-178472.17548998538,-0.46492380506081826,0.2557987887176989,1.3593563908785242e-06
20.0,0.05,1340000.0,54772.25575051661,68008.73806582569,5.0,0.0,479030.05386775435,-860969.9461322457,-1.0286615545633533,0.4365968761570915,1.3593563908785242e-06
20.0,0.1,,,,0.0,5.0,584215.8041819948,,,0.5266252382965828,1.3593563908785242e-06
20.0,0.25,,,,0.0,5.0,945045.6454705371,,,0.7422582976356743,1.3593563908785242e-06
20.0,0.5,,,,0.0,5.0,1439619.0336528989,,,0.8862057720584068,1.3593563908785242e-06
20.0,0.75,,,,0.0,5.0,2413416.917355956,,,0.975317503593595,1.3593563908785242e-06
30.0,0.01,300000.0,0.0,0.0,5.0,0.0,305990.75503372087,5990.755033720867,0.019772414531677055,0.2557987887176989,1.3593563908785242e-06
30.0,0.05,500000.0,0.0,0.0,5.0,0.0,494806.8534707385,-5193.1465292614885,-0.010440607007991386,0.4365968761570915,1.3593563908785242e-06
30.0,0.1,760000.0,54772.25575051661,68008.73806582569,5.0,0.0,608982.8553138223,-151017.14468617772,-0.22152831816081228,0.5266252382965828,1.3593563908785242e-06
30.0,0.25,2140000.0,89442.71909999159,111057.80420791195,5.0,0.0,1008994.8660108927,-1131005.1339891073,-0.7518511758705823,0.7422582976356743,1.3593563908785242e-06
30.0,0.5,,,,0.0,5.0,1566844.0840605614,,,0.8862057720584068,1.3593563908785242e-06
30.0,0.75,,,,0.0,5.0,2673483.724874187,,,0.975317503593595,1.3593563908785242e-06
40.0,0.01,200000.0,0.0,0.0,5.0,0.0,291980.5300195426,91980.53001954261,0.3783697554819023,0.2557987887176989,1.3593563908785242e-06
40.0,0.05,340000.0,54772.25575051661,68008.73806582569,5.0,0.0,481121.3328871452,141121.33288714522,0.3471738720101643,0.4365968761570915,1.3593563908785242e-06
40.0,0.1,500000.0,0.0,0.0,5.0,0.0,597724.3343774008,97724.33437740081,0.17852156994281193,0.5266252382965828,1.3593563908785242e-06
40.0,0.25,1000000.0,0.0,0.0,5.0,0.0,1014023.4072475673,14023.407247567317,0.013925988973137599,0.7422582976356743,1.3593563908785242e-06
40.0,0.5,2500000.0,70710.67811865476,87798.90330850845,5.0,0.0,1604266.903375944,-895733.0966240561,-0.44362383765911473,0.8862057720584068,1.3593563908785242e-06
40.0,0.75,,,,0.0,5.0,2786886.195521629,,,0.975317503593595,1.3593563908785242e-06
50.0,0.01,200000.0,0.0,0.0,5.0,0.0,286789.5802010002,86789.58020100021,0.36043141027963765,0.2557987887176989,1.3593563908785242e-06
50.0,0.05,300000.0,0.0,0.0,5.0,0.0,474693.10854594404,174693.10854594404,0.45888603330242006,0.4365968761570915,1.3593563908785242e-06
50.0,0.1,400000.0,0.0,0.0,5.0,0.0,591241.9874783558,191241.98747835576,0.390760840772686,0.5266252382965828,1.3593563908785242e-06
50.0,0.25,800000.0,0.0,0.0,5.0,0.0,1009691.3897667591,209691.38976675912,0.23278828078965608,0.7422582976356743,1.3593563908785242e-06
50.0,0.5,1520000.0,44721.359549995796,55528.902103955974,5.0,0.0,1605057.3132467626,85057.31324676261,0.05444913027425044,0.8862057720584068,1.3593563908785242e-06
50.0,0.75,3920000.0,148323.96974191326,184168.5332991985,5.0,0.0,2799380.5619254005,-1120619.4380745995,-0.33669348897949647,0.975317503593595,1.3593563908785242e-06
60.0,0.01,200000.0,0.0,0.0,5.0,0.0,287445.2477579525,87445.24775795249,0.36271503297184265,0.2557987887176989,1.3593563908785242e-06
60.0,0.05,300000.0,0.0,0.0,5.0,0.0,480691.4394374893,180691.43943748932,0.47144309155068886,0.4365968761570915,1.3593563908785242e-06
60.0,0.1,400000.0,0.0,0.0,5.0,0.0,601791.6737489359,201791.67374893592,0.40844678141387863,0.5266252382965828,1.3593563908785242e-06
60.0,0.25,800000.0,0.0,0.0,5.0,0.0,1040515.0473667918,240515.04736679175,0.26285937973038254,0.7422582976356743,1.3593563908785242e-06
60.0,0.5,1420000.0,44721.359549995796,55528.902103955974,5.0,0.0,1668918.5429507513,248918.54295075126,0.16151896597419438,0.8862057720584068,1.3593563908785242e-06
60.0,0.75,2680000.0,83666.00265340756,103885.06336835696,5.0,0.0,2934387.038813755,254387.03881375492,0.09068179156744319,0.975317503593595,1.3593563908785242e-06
70.0,0.01,200000.0,0.0,0.0,5.0,0.0,289153.8699523735,89153.8699523735,0.36864160185863304,0.2557987887176989,1.3593563908785242e-06
70.0,0.05,300000.0,0.0,0.0,5.0,0.0,484856.49996458186,184856.49996458186,0.4800704961395487,0.4365968761570915,1.3593563908785242e-06
70.0,0.1,400000.0,0.0,0.0,5.0,0.0,607237.4919295339,207237.4919295339,0.4174554226692562,0.5266252382965828,1.3593563908785242e-06
70.0,0.25,800000.0,0.0,0.0,5.0,0.0,1048301.133888516,248301.133888516,0.2703144374350743,0.7422582976356743,1.3593563908785242e-06
