d,threshold,tau_obs_mean,tau_obs_sd,tau_obs_ci95,obs_n,censored_n,tau_pred,residual_steps,residual_log,theta,kappa
10.0,0.01,,,,0.0,5.0,240700.1473722205,,,0.6272483701348919,2.1544346900318822e-06
10.0,0.05,,,,0.0,5.0,363815.5298481069,,,0.8175092088292494,2.1544346900318822e-06
10.0,0.1,,,,0.0,5.0,456513.59551077127,,,0.8947461515549976,2.1544346900318822e-06
10.0,0.25,,,,0.0,5.0,725644.4081771714,,,0.9784917515831288,2.1544346900318822e-06
10.0,0.5,,,,0.0,5.0,1076617.7033178487,,,0.99706630132355,2.1544346900318822e-06
10.0,0.75,,,,0.0,5.0,1630091.9753478982,,,0.9998482012703336,2.1544346900318822e-06
20.0,0.01,480000.0,44721.359549995796,55528.902103955974,5.0,0.0,327571.35484151525,-152428.64515848475,-0.38208019517978653,0.6272483701348919,2.1544346900318822e-06
20.0,0.05,1340000.0,54772.25575051661,68008.73806582569,5.0,0.0,505840.9431215517,-834159.0568784482,-0.9742026147301985,0.8175092088292494,2.1544346900318822e-06
20.0,0.1,,,,0.0,5.0,644680.2195386633,,,0.8947461515549976,2.1544346900318822e-06
20.0,0.25,,,,0.0,5.0,1068032.2684748804,,,0.9784917515831288,2.1544346900318822e-06
20.0,0.5,,,,0.0,5.0,1654502.216265867,,,0.99706630132355,2.1544346900318822e-06
20.0,0.75,,,,0.0,5.0,2621915.973090341,,,0.9998482012703336,2.1544346900318822e-06
30.0,0.01,300000.0,0.0,0.0,5.0,0.0,310189.0213742536,10189.021374253614,0.03339938337176546,0.6272483701348919,2.1544346900318822e-06
30.0,0.05,500000.0,0.0,0.0,5.0,0.0,487957.5262383367,-12042.473761663307,-0.02437973275378254,0.8175092088292494,2.1544346900318822e-06
30.0,0.1,760000.0,54772.25575051661,68008.73806582569,5.0,0.0,630389.7577355008,-129610.24226449919,-0.18698014211568012,0.8947461515549976,2.1544346900318822e-06
30.0,0.25,2140000.0,89442.71909999159,111057.80420791195,5.0,0.0,1080386.9949085535,-1059613.0050914465,-0.6834865234629681,0.9784917515831288,2.1544346900318822e-06
30.0,0.5,,,,0.0,5.0,1720468.189958539,,,0.99706630132355,2.1544346900318822e-06
30.0,0.75,,,,0.0,5.0,2777683.715439625,,,0.9998482012703336,2.1544346900318822e-06
40.0,0.01,200000.0,0.0,0.0,5.0,0.0,280543.7209760295,80543.72097602952,0.338412214275794,0.6272483701348919,2.1544346900318822e-06
40.0,0.05,340000.0,54772.25575051661,68008.73806582569,5.0,0.0,450662.9197831651,110662.9197831651,0.28177403619942043,0.8175092088292494,2.1544346900318822e-06
40.0,0.1,500000.0,0.0,0.0,5.0,0.0,590462.077798611,90462.07779861102,0.16629731465953967,0.8947461515549976,2.1544346900318822e-06
40.0,0.25,1000000.0,0.0,0.0,5.0,0.0,1043550.5995633699,43550.59956336988,0.042628936597520914,0.9784917515831288,2.1544346900318822e-06
40.0,0.5,2500000.0,70710.67811865476,87798.90330850845,5.0,0.0,1701099.3809751207,-798900.6190248793,-0.38501599513764045,0.99706630132355,2.1544346900318822e-06
