dataset,vae_prefix,d_latent,n,threshold,memorized_count,memorized_fraction,mean_nn_ratio,mean_pixel_mse,std_pixel_mse,mean_pixel_l2,std_pixel_l2
celeba,vae_checkpoints/celeba_resnet_modernloss_d,10,1000,0.3333333333333333,12,0.012000000104308128,0.6281922459602356,0.07907623797655106,0.02838335558772087,8.851534843444824,1.6208059787750244
celeba,vae_checkpoints/celeba_resnet_modernloss_d,20,1000,0.3333333333333333,257,0.25699999928474426,0.402248740196228,0.03825860098004341,0.01586166024208069,6.134817123413086,1.2419222593307495
celeba,vae_checkpoints/celeba_resnet_modernloss_d,30,1000,0.3333333333333333,617,0.6169999837875366,0.3213863968849182,0.026083793491125107,0.011327329091727734,5.059720039367676,1.0536365509033203
celeba,vae_checkpoints/celeba_resnet_modernloss_d,40,1000,0.3333333333333333,815,0.8149999976158142,0.281672865152359,0.02082735486328602,0.009721014648675919,4.511711120605469,0.986225962638855
celeba,vae_checkpoints/celeba_resnet_modernloss_d,50,1000,0.3333333333333333,914,0.9139999747276306,0.25368693470954895,0.017279643565416336,0.008291695266962051,4.106443405151367,0.9123111963272095
celeba,vae_checkpoints/celeba_resnet_modernloss_d,60,1000,0.3333333333333333,947,0.9470000267028809,0.23661409318447113,0.015148883685469627,0.007215371821075678,3.8469722270965576,0.8449708819389343
celeba,vae_checkpoints/celeba_resnet_modernloss_d,70,1000,0.3333333333333333,963,0.9629999995231628,0.2220650166273117,0.013528943993151188,0.006715162191540003,3.62992787361145,0.8233703970909119
celeba,vae_checkpoints/celeba_resnet_modernloss_d,80,1000,0.3333333333333333,972,0.972000002861023,0.20801320672035217,0.011996462009847164,0.006060381419956684,3.4166996479034424,0.78176349401474
celeba,vae_checkpoints/celeba_resnet_modernloss_d,90,1000,0.3333333333333333,984,0.984000027179718,0.20018398761749268,0.011129403486847878,0.005704933311790228,3.2903363704681396,0.7554909586906433
celeba,vae_checkpoints/celeba_resnet_modernloss_d,100,1000,0.3333333333333333,990,0.9900000095367432,0.18915358185768127,0.010074537247419357,0.005228350404649973,3.127577066421509,0.7315210103988647
celeba,vae_checkpoints/celeba_resnet_modernloss_d,120,1000,0.3333333333333333,995,0.9950000047683716,0.17350806295871735,0.008569758385419846,0.004458521027117968,2.8838694095611572,0.6776347160339355
celeba,vae_checkpoints/celeba_resnet_modernloss_d,140,1000,0.3333333333333333,998,0.9980000257492065,0.1626288741827011,0.007544051390141249,0.003813920309767127,2.709075927734375,0.6216126680374146
celeba,vae_checkpoints/celeba_resnet_modernloss_d,160,1000,0.3333333333333333,999,0.9990000128746033,0.16011862456798553,0.007338095456361771,0.0037396089173853397,2.6706347465515137,0.6183069944381714
celeba,vae_checkpoints/celeba_resnet_modernloss_d,180,1000,0.3333333333333333,998,0.9980000257492065,0.1580212414264679,0.00717185577377677,0.0037410783115774393,2.638549327850342,0.618401288986206
celeba,vae_checkpoints/celeba_resnet_modernloss_d,200,1000,0.3333333333333333,998,0.9980000257492065,0.1625186651945114,0.007549339439719915,0.0037877836730331182,2.7100188732147217,0.6218588948249817
