d_latent,dataset,arch,image_channels,image_size,hidden_dims,n_train,n_val,epochs_requested,lr,beta,beta_warmup_frac,max_capacity,capacity_warmup_frac,mse_weight,l1_weight,free_bits,ema_decay,grad_clip,early_stop_patience,early_stop_tol,final_epoch,final_step,final_lr,final_beta,final_capacity,final_train_loss,final_train_recon,final_train_mse,final_train_l1,final_train_kl,final_test_loss,final_test_recon,final_test_mse,final_test_l1,final_test_kl,best_epoch,best_step,best_test_loss,best_test_recon,best_test_mse,best_test_l1,best_test_kl,epochs_since_improve_at_stop
10,celeba_hq_tar,resnet,1,32,"[32, 64, 128, 256, 512]",21000,6000,300,0.001,0.05,0.15,25.0,0.35,0.5,1.0,0.05,0.999,1.5,30,0.0008,92,7719,6.25e-05,0.05,22.142857142857142,128.25529117838542,126.03959955124628,27.319081481206986,112.38005897449312,44.31382768031529,204.95933064778646,202.842766805013,59.91384821573893,172.88584191894532,42.331281819661456,63,5312,193.82243025716147,191.8614705403646,53.09117009480794,165.31588627115886,39.21919942220052,30
20,celeba_hq_tar,resnet,1,32,"[32, 64, 128, 256, 512]",21000,6000,300,0.001,0.05,0.15,25.0,0.35,0.5,1.0,0.05,0.999,1.5,30,0.0008,97,8134,6.25e-05,0.05,23.333333333333332,92.84186127871558,88.88361941673642,14.616937079293388,81.57515100969587,79.16483493187314,160.53932010904947,156.73623286946614,38.57121571858724,137.45062581380208,76.06175329589844,69,5810,153.09493286132812,149.56325345865886,34.56912611897786,132.27869132486978,70.63356811523437,30
30,celeba_hq_tar,resnet,1,32,"[32, 64, 128, 256, 512]",21000,6000,300,0.001,0.05,0.15,25.0,0.35,0.5,1.0,0.05,0.999,1.5,30,0.0008,104,8715,6.25e-05,0.05,25.0,82.37278933570498,76.94531989106677,11.167715547107514,71.3614623732794,108.54939551362537,137.6544755859375,132.39269014485677,28.752767364501953,118.01630596923827,105.23573740641277,76,6391,132.25153649902344,127.28673451741537,26.129569727579753,114.22194934082032,99.29604461669922,30
40,celeba_hq_tar,resnet,1,32,"[32, 64, 128, 256, 512]",21000,6000,300,0.001,0.05,0.15,25.0,0.35,0.5,1.0,0.05,0.999,1.5,30,0.0008,110,9213,3.125e-05,0.05,25.0,77.19740716552734,70.45991783505394,9.45629444812593,65.73177114722843,134.74978773716518,122.19200724283854,115.6460390218099,22.669097340901693,104.31148954264323,130.91937345377605,80,6723,117.65957741292318,111.5171058959961,20.72319230143229,101.15550986735026,122.84942738850911,30
50,celeba_hq_tar,resnet,1,32,"[32, 64, 128, 256, 512]",21000,6000,300,0.001,0.05,0.15,25.0,0.35,0.5,1.0,0.05,0.999,1.5,30,0.0008,115,9628,6.25e-05,0.05,25.0,73.62799656459264,65.72802935645694,8.268172229948497,61.59394313412621,157.99935028948101,110.51228068033855,102.8395703125,18.423732279459635,93.6277044881185,153.45420324707032,87,7304,107.05327978515625,99.79087343343099,17.078140698750815,91.25180255126953,145.2481201578776,30
60,celeba_hq_tar,resnet,1,32,"[32, 64, 128, 256, 512]",21000,6000,300,0.001,0.05,0.15,25.0,0.35,0.5,1.0,0.05,0.999,1.5,30,0.0008,117,9794,6.25e-05,0.05,25.0,71.09049302164713,62.0808753633045,7.413778081076486,58.373986252557664,180.19236468796504,102.59578472900391,93.7925985921224,15.583516220092774,86.00084084065755,176.0637216389974,88,7387,100.0628100789388,91.69555004882812,14.559330423990886,84.41588545735677,167.34519873046875,30
70,celeba_hq_tar,resnet,1,32,"[32, 64, 128, 256, 512]",21000,6000,300,0.001,0.05,0.15,25.0,0.35,0.5,1.0,0.05,0.999,1.5,30,0.0008,122,10209,6.25e-05,0.05,25.0,69.32884433710008,59.32657509940011,6.776558345249721,55.938295968191966,200.04538812546502,95.08519590250651,85.3207010904948,13.139814943949382,78.75079484049479,195.28990043131512,95,7968,92.98839888509114,83.65717248535157,12.406367764790852,77.45398856608072,186.62452827962238,30
80,celeba_hq_tar,resnet,1,32,"[32, 64, 128, 256, 512]",21000,6000,300,0.001,0.05,0.15,25.0,0.35,0.5,1.0,0.05,0.999,1.5,30,0.0008,128,10707,6.25e-05,0.05,25.0,67.8632606375558,56.953867824009485,6.2573558127993625,53.8251901710147,218.18786276390438,89.90026208496094,79.25682670084636,11.510665128072104,73.50149442545573,212.8686984049479,102,8549,88.1274090983073,77.980259765625,10.955534601847331,72.5024922688802,202.94298876953124,30
90,celeba_hq_tar,resnet,1,32,"[32, 64, 128, 256, 512]",21000,6000,300,0.001,0.05,0.15,25.0,0.35,0.5,1.0,0.05,0.999,1.5,30,0.0008,130,10873,6.25e-05,0.05,25.0,66.74609293910436,55.00630441865467,5.830169081006732,52.09121988641648,234.79577263532366,85.28392696126302,73.84684401448568,10.082381050109863,68.80565313720703,228.74166552734374,105,8798,84.16715911865235,73.22546545410157,9.710567240397136,68.37018141682942,218.83386547851563,30
100,celeba_hq_tar,resnet,1,32,"[32, 64, 128, 256, 512]",21000,6000,300,0.001,0.05,0.15,25.0,0.35,0.5,1.0,0.05,0.999,1.5,30,0.0008,137,11454,3.125e-05,0.05,25.0,66.15403380475725,53.64813186064221,5.5590804644993375,50.86859142194476,250.11803216843379,81.33547839355468,69.06057511393229,8.946244697570801,64.58745278930664,245.49806327311197,110,9213,80.10954852294923,68.39600777180989,8.622612073262532,64.0847019551595,234.2708046875,30
