d,seed,folder,clipped
20,42,d20,False
20,43,d20,False
20,44,d20,False
20,45,d20,False
20,46,d20,False
40,42,d40,False
40,43,d40,False
40,44,d40,False
40,45,d40,False
40,46,d40,False
60,42,d60,False
60,43,d60,False
60,44,d60,False
60,45,d60,False
60,46,d60,False
80,42,d80,False
80,43,d80,False
80,44,d80,False
80,45,d80,False
80,46,d80,False
100,42,d100,False
100,43,d100,False
100,44,d100,False
100,45,d100,False
100,46,d100,False
120,42,d120,False
120,43,d120,False
120,44,d120,False
120,45,d120,False
120,46,d120,False
140,42,d140,False
140,43,d140,False
140,44,d140,False
140,45,d140,False
140,46,d140,False
160,42,d160,False
160,43,d160,False
160,44,d160,False
160,45,d160,False
160,46,d160,False
180,42,d180,False
180,43,d180,False
180,44,d180,False
180,45,d180,False
180,46,d180,False
200,42,d200,False
200,43,d200,False
200,44,d200,False
200,45,d200,False
200,46,d200,False
220,42,d220,False
220,43,d220,False
220,44,d220,False
220,45,d220,False
220,47,d220,False
240,42,d240,False
240,43,d240,False
240,45,d240,False
240,46,d240,False
240,47,d240,False
260,43,d260,False
260,47,d260,False
260,48,d260,False
260,49,d260,False
260,50,d260,False
