seed,folder,d,step,mem
42,d20,20,1,0.0
42,d20,20,10000,
42,d20,20,20000,
42,d20,20,30000,
42,d20,20,40000,
42,d20,20,50000,
42,d20,20,60000,
42,d20,20,70000,
42,d20,20,80000,
42,d20,20,90000,
42,d20,20,100000,0.0
42,d20,20,110000,
42,d20,20,120000,
42,d20,20,130000,
42,d20,20,140000,
42,d20,20,150000,
42,d20,20,160000,
42,d20,20,170000,
42,d20,20,180000,
42,d20,20,190000,
42,d20,20,200000,0.0003000000142492354
42,d20,20,210000,
42,d20,20,220000,
42,d20,20,230000,
42,d20,20,240000,
42,d20,20,250000,
42,d20,20,260000,
42,d20,20,270000,
42,d20,20,280000,
42,d20,20,290000,
42,d20,20,300000,0.0008999999845400453
42,d20,20,310000,
42,d20,20,320000,
42,d20,20,330000,
42,d20,20,340000,
42,d20,20,350000,
42,d20,20,360000,
42,d20,20,370000,
42,d20,20,380000,
42,d20,20,390000,
42,d20,20,400000,0.002199999988079071
42,d20,20,410000,
42,d20,20,420000,
42,d20,20,430000,
42,d20,20,440000,
42,d20,20,450000,
42,d20,20,460000,
42,d20,20,470000,
42,d20,20,480000,
42,d20,20,490000,
42,d20,20,500000,0.003100000089034438
42,d20,20,510000,
42,d20,20,520000,
42,d20,20,530000,
42,d20,20,540000,
42,d20,20,550000,
42,d20,20,560000,
42,d20,20,570000,
42,d20,20,580000,
42,d20,20,590000,
42,d20,20,600000,0.004100000020116568
42,d20,20,610000,
42,d20,20,620000,
42,d20,20,630000,
42,d20,20,640000,
42,d20,20,650000,
42,d20,20,660000,
42,d20,20,670000,
42,d20,20,680000,
42,d20,20,690000,
42,d20,20,700000,0.004800000227987766
42,d20,20,710000,
42,d20,20,720000,
42,d20,20,730000,
42,d20,20,740000,
42,d20,20,750000,
42,d20,20,760000,
42,d20,20,770000,
42,d20,20,780000,
42,d20,20,790000,
42,d20,20,800000,0.005400000140070915
42,d20,20,810000,
42,d20,20,820000,
42,d20,20,830000,
42,d20,20,840000,
42,d20,20,850000,
42,d20,20,860000,
42,d20,20,870000,
42,d20,20,880000,
42,d20,20,890000,
42,d20,20,900000,0.006200000178068876
42,d20,20,910000,
42,d20,20,920000,
42,d20,20,930000,
42,d20,20,940000,
42,d20,20,950000,
42,d20,20,960000,
42,d20,20,970000,
42,d20,20,980000,
42,d20,20,990000,
42,d20,20,1000000,0.007799999788403511
42,d20,20,1010000,
42,d20,20,1020000,
42,d20,20,1030000,
42,d20,20,1040000,
42,d20,20,1050000,
42,d20,20,1060000,
42,d20,20,1070000,
42,d20,20,1080000,
42,d20,20,1090000,
42,d20,20,1100000,0.006099999882280827
42,d20,20,1110000,
42,d20,20,1120000,
42,d20,20,1130000,
42,d20,20,1140000,
42,d20,20,1150000,
42,d20,20,1160000,
42,d20,20,1170000,
42,d20,20,1180000,
42,d20,20,1190000,
42,d20,20,1200000,0.0071000000461936
42,d20,20,1210000,
42,d20,20,1220000,
42,d20,20,1230000,
42,d20,20,1240000,
42,d20,20,1250000,
42,d20,20,1260000,
42,d20,20,1270000,
42,d20,20,1280000,
42,d20,20,1290000,
42,d20,20,1300000,0.007499999832361937
42,d20,20,1310000,
42,d20,20,1320000,
42,d20,20,1330000,
42,d20,20,1340000,
42,d20,20,1350000,
42,d20,20,1360000,
42,d20,20,1370000,
42,d20,20,1380000,
42,d20,20,1390000,
42,d20,20,1400000,0.007000000216066837
42,d20,20,1410000,
42,d20,20,1420000,
42,d20,20,1430000,
42,d20,20,1440000,
42,d20,20,1450000,
42,d20,20,1460000,
42,d20,20,1470000,
42,d20,20,1480000,
42,d20,20,1490000,
42,d20,20,1500000,0.009399999864399433
42,d20,20,1510000,
42,d20,20,1520000,
42,d20,20,1530000,
42,d20,20,1540000,
42,d20,20,1550000,
42,d20,20,1560000,
42,d20,20,1570000,
42,d20,20,1580000,
42,d20,20,1590000,
42,d20,20,1600000,0.008500000461935997
42,d20,20,1610000,
42,d20,20,1620000,
42,d20,20,1630000,
42,d20,20,1640000,
42,d20,20,1650000,
42,d20,20,1660000,
42,d20,20,1670000,
42,d20,20,1680000,
42,d20,20,1690000,
42,d20,20,1700000,0.008999999612569809
42,d20,20,1710000,
42,d20,20,1720000,
42,d20,20,1730000,
42,d20,20,1740000,
42,d20,20,1750000,
42,d20,20,1760000,
42,d20,20,1770000,
42,d20,20,1780000,
42,d20,20,1790000,
42,d20,20,1800000,0.008200000040233135
42,d20,20,1810000,
42,d20,20,1820000,
42,d20,20,1830000,
42,d20,20,1840000,
42,d20,20,1850000,
42,d20,20,1860000,
42,d20,20,1870000,
42,d20,20,1880000,
42,d20,20,1890000,
42,d20,20,1900000,0.010200000368058681
42,d20,20,1910000,
42,d20,20,1920000,
42,d20,20,1930000,
42,d20,20,1940000,
42,d20,20,1950000,
42,d20,20,1960000,
42,d20,20,1970000,
42,d20,20,1980000,
42,d20,20,1990000,
42,d20,20,2000000,0.00839999970048666
42,d20,20,2010000,
42,d20,20,2020000,
42,d20,20,2030000,
42,d20,20,2040000,
42,d20,20,2050000,
42,d20,20,2060000,
42,d20,20,2070000,
42,d20,20,2080000,
42,d20,20,2090000,
42,d20,20,2100000,0.010499999858438969
42,d20,20,2110000,
42,d20,20,2120000,
42,d20,20,2130000,
42,d20,20,2140000,
42,d20,20,2150000,
42,d20,20,2160000,
42,d20,20,2170000,
42,d20,20,2180000,
42,d20,20,2190000,
42,d20,20,2200000,0.009800000116229057
42,d20,20,2210000,
42,d20,20,2220000,
42,d20,20,2230000,
42,d20,20,2240000,
42,d20,20,2250000,
42,d20,20,2260000,
42,d20,20,2270000,
42,d20,20,2280000,
42,d20,20,2290000,
42,d20,20,2300000,0.009800000116229057
42,d20,20,2310000,
42,d20,20,2320000,
42,d20,20,2330000,
42,d20,20,2340000,
42,d20,20,2350000,
42,d20,20,2360000,
42,d20,20,2370000,
42,d20,20,2380000,
42,d20,20,2390000,
42,d20,20,2400000,0.00989999994635582
42,d20,20,2410000,
42,d20,20,2420000,
42,d20,20,2430000,
42,d20,20,2440000,
42,d20,20,2450000,
42,d20,20,2460000,
42,d20,20,2470000,
42,d20,20,2480000,
42,d20,20,2490000,
42,d20,20,2500000,0.009700000286102295
42,d20,20,2510000,
42,d20,20,2520000,
42,d20,20,2530000,
42,d20,20,2540000,
42,d20,20,2550000,
42,d20,20,2560000,
42,d20,20,2570000,
42,d20,20,2580000,
42,d20,20,2590000,
42,d20,20,2600000,0.012299999594688416
42,d20,20,2610000,
42,d20,20,2620000,
42,d20,20,2630000,
42,d20,20,2640000,
42,d20,20,2650000,
42,d20,20,2660000,
42,d20,20,2670000,
42,d20,20,2680000,
42,d20,20,2690000,
42,d20,20,2700000,0.009200000204145908
42,d20,20,2710000,
42,d20,20,2720000,
42,d20,20,2730000,
42,d20,20,2740000,
42,d20,20,2750000,
42,d20,20,2760000,
42,d20,20,2770000,
42,d20,20,2780000,
42,d20,20,2790000,
42,d20,20,2800000,0.011300000362098217
42,d20,20,2810000,
42,d20,20,2820000,
42,d20,20,2830000,
42,d20,20,2840000,
42,d20,20,2850000,
42,d20,20,2860000,
42,d20,20,2870000,
42,d20,20,2880000,
42,d20,20,2890000,
42,d20,20,2900000,0.010999999940395355
42,d20,20,2910000,
42,d20,20,2920000,
42,d20,20,2930000,
42,d20,20,2940000,
42,d20,20,2950000,
42,d20,20,2960000,
42,d20,20,2970000,
42,d20,20,2980000,
42,d20,20,2990000,
42,d20,20,3000000,0.012000000104308128
42,d20,20,3010000,
42,d20,20,3020000,
42,d20,20,3030000,
42,d20,20,3040000,
42,d20,20,3050000,
42,d20,20,3060000,
42,d20,20,3070000,
42,d20,20,3080000,
42,d20,20,3090000,
42,d20,20,3100000,0.010599999688565731
42,d20,20,3110000,
42,d20,20,3120000,
42,d20,20,3130000,
42,d20,20,3140000,
42,d20,20,3150000,
42,d20,20,3160000,
42,d20,20,3170000,
42,d20,20,3180000,
42,d20,20,3190000,
42,d20,20,3200000,0.010900000110268593
42,d20,20,3210000,
42,d20,20,3220000,
42,d20,20,3230000,
42,d20,20,3240000,
42,d20,20,3250000,
42,d20,20,3260000,
42,d20,20,3270000,
42,d20,20,3280000,
42,d20,20,3290000,
42,d20,20,3300000,0.010599999688565731
42,d20,20,3310000,
42,d20,20,3320000,
42,d20,20,3330000,
42,d20,20,3340000,
42,d20,20,3350000,
42,d20,20,3360000,
42,d20,20,3370000,
42,d20,20,3380000,
42,d20,20,3390000,
42,d20,20,3400000,0.008799999952316284
42,d20,20,3410000,
42,d20,20,3420000,
42,d20,20,3430000,
42,d20,20,3440000,
42,d20,20,3450000,
42,d20,20,3460000,
42,d20,20,3470000,
42,d20,20,3480000,
42,d20,20,3490000,
42,d20,20,3500000,0.013299999758601189
42,d20,20,3510000,
42,d20,20,3520000,
42,d20,20,3530000,
42,d20,20,3540000,
42,d20,20,3550000,
42,d20,20,3560000,
42,d20,20,3570000,
42,d20,20,3580000,
42,d20,20,3590000,
42,d20,20,3600000,0.013799999840557575
42,d20,20,3610000,
42,d20,20,3620000,
42,d20,20,3630000,
42,d20,20,3640000,
42,d20,20,3650000,
42,d20,20,3660000,
42,d20,20,3670000,
42,d20,20,3680000,
42,d20,20,3690000,
42,d20,20,3700000,0.011900000274181366
42,d20,20,3710000,
42,d20,20,3720000,
42,d20,20,3730000,
42,d20,20,3740000,
42,d20,20,3750000,
42,d20,20,3760000,
42,d20,20,3770000,
42,d20,20,3780000,
42,d20,20,3790000,
42,d20,20,3800000,0.013199999928474426
42,d20,20,3810000,
42,d20,20,3820000,
42,d20,20,3830000,
42,d20,20,3840000,
42,d20,20,3850000,
42,d20,20,3860000,
42,d20,20,3870000,
42,d20,20,3880000,
42,d20,20,3890000,
42,d20,20,3900000,0.011599999852478504
42,d20,20,3910000,
42,d20,20,3920000,
42,d20,20,3930000,
42,d20,20,3940000,
42,d20,20,3950000,
42,d20,20,3960000,
42,d20,20,3970000,
42,d20,20,3980000,
42,d20,20,3990000,
42,d20,20,4000000,0.012500000186264515
42,d20,20,4010000,
42,d20,20,4020000,
42,d20,20,4030000,
42,d20,20,4040000,
42,d20,20,4050000,
42,d20,20,4060000,
42,d20,20,4070000,
42,d20,20,4080000,
42,d20,20,4090000,
42,d20,20,4100000,0.010999999940395355
42,d20,20,4110000,
42,d20,20,4120000,
42,d20,20,4130000,
42,d20,20,4140000,
42,d20,20,4150000,
42,d20,20,4160000,
42,d20,20,4170000,
42,d20,20,4180000,
42,d20,20,4190000,
42,d20,20,4200000,0.013299999758601189
42,d20,20,4210000,
42,d20,20,4220000,
42,d20,20,4230000,
42,d20,20,4240000,
42,d20,20,4250000,
42,d20,20,4260000,
42,d20,20,4270000,
42,d20,20,4280000,
42,d20,20,4290000,
42,d20,20,4300000,0.010999999940395355
42,d20,20,4310000,
42,d20,20,4320000,
42,d20,20,4330000,
42,d20,20,4340000,
42,d20,20,4350000,
42,d20,20,4360000,
42,d20,20,4370000,
42,d20,20,4380000,
42,d20,20,4390000,
42,d20,20,4400000,0.014999999664723873
42,d20,20,4410000,
42,d20,20,4420000,
42,d20,20,4430000,
42,d20,20,4440000,
42,d20,20,4450000,
42,d20,20,4460000,
42,d20,20,4470000,
42,d20,20,4480000,
42,d20,20,4490000,
42,d20,20,4500000,0.01360000018030405
42,d20,20,4510000,
42,d20,20,4520000,
42,d20,20,4530000,
42,d20,20,4540000,
42,d20,20,4550000,
42,d20,20,4560000,
42,d20,20,4570000,
42,d20,20,4580000,
42,d20,20,4590000,
42,d20,20,4600000,0.013299999758601189
42,d20,20,4610000,
42,d20,20,4620000,
42,d20,20,4630000,
42,d20,20,4640000,
42,d20,20,4650000,
42,d20,20,4660000,
42,d20,20,4670000,
42,d20,20,4680000,
42,d20,20,4690000,
42,d20,20,4700000,0.011699999682605267
42,d20,20,4710000,
42,d20,20,4720000,
42,d20,20,4730000,
42,d20,20,4740000,
42,d20,20,4750000,
42,d20,20,4760000,
42,d20,20,4770000,
42,d20,20,4780000,
42,d20,20,4790000,
42,d20,20,4800000,0.010900000110268593
42,d20,20,4810000,
42,d20,20,4820000,
42,d20,20,4830000,
42,d20,20,4840000,
42,d20,20,4850000,
42,d20,20,4860000,
