d,threshold,tau_obs_mean,tau_obs_sd,tau_obs_ci95,obs_n,censored_n
20,0.01,1900000.0,187082.86933869706,232294.06353851943,5,0
20,0.05,,,,0,5
20,0.1,,,,0,5
20,0.25,,,,0,5
20,0.5,,,,0,5
20,0.75,,,,0,5
40,0.01,400000.0,0.0,0.0,5,0
40,0.05,1420000.0,130384.04810405297,161893.17847087063,5,0
40,0.1,,,,0,5
40,0.25,,,,0,5
40,0.5,,,,0,5
40,0.75,,,,0,5
60,0.01,300000.0,0.0,0.0,5,0
60,0.05,540000.0,54772.25575051661,68008.73806582569,5,0
60,0.1,900000.0,0.0,0.0,5,0
60,0.25,2840000.0,270185.1217221259,335479.1384926662,5,0
60,0.5,,,,0,5
60,0.75,,,,0,5
80,0.01,300000.0,0.0,0.0,5,0
80,0.05,660000.0,54772.25575051661,68008.73806582569,5,0
80,0.1,980000.0,44721.359549995796,55528.902103955974,5,0
80,0.25,1840000.0,54772.25575051661,68008.73806582569,5,0
80,0.5,,,,0,5
80,0.75,,,,0,5
100,0.01,320000.0,44721.359549995796,55528.902103955974,5,0
100,0.05,720000.0,44721.359549995796,55528.902103955974,5,0
100,0.1,1120000.0,44721.359549995796,55528.902103955974,5,0
100,0.25,1740000.0,54772.25575051661,68008.73806582569,5,0
100,0.5,3160000.0,54772.25575051661,68008.73806582569,5,0
100,0.75,,,,0,5
120,0.01,480000.0,44721.359549995796,55528.902103955974,5,0
120,0.05,1020000.0,83666.00265340756,103885.06336835696,5,0
120,0.1,1440000.0,89442.71909999159,111057.80420791195,5,0
120,0.25,2080000.0,130384.04810405297,161893.17847087063,5,0
120,0.5,3660000.0,151657.508881031,188307.6688348442,5,0
120,0.75,,,,0,5
140,0.01,660000.0,54772.25575051661,68008.73806582569,5,0
140,0.05,1100000.0,100000.0,124166.39982037664,5,0
140,0.1,1460000.0,114017.5425099138,141571.47769822748,5,0
140,0.25,2100000.0,291547.594742265,362004.1521543722,5,0
140,0.5,3375000.0,170782.5127659933,237084.13581126134,4,1
140,0.75,,,,0,5
160,0.01,680000.0,44721.359549995796,55528.902103955974,5,0
160,0.05,1040000.0,54772.25575051661,68008.73806582569,5,0
160,0.1,1260000.0,54772.25575051661,68008.73806582569,5,0
160,0.25,1900000.0,122474.48713915891,152072.16137916382,5,0
160,0.5,3740000.0,792464.510246358,983974.6522270825,5,0
160,0.75,,,,0,5
180,0.01,660000.0,54772.25575051661,68008.73806582569,5,0
180,0.05,1020000.0,44721.359549995796,55528.902103955974,5,0
180,0.1,1340000.0,114017.5425099138,141571.47769822748,5,0
180,0.25,2220000.0,327108.54467592255,406158.90342892136,5,0
180,0.5,4400000.0,848528.137423857,1665867.063118679,2,3
180,0.75,,,,0,5
200,0.01,660000.0,54772.25575051661,68008.73806582569,5,0
200,0.05,1180000.0,130384.04810405297,161893.17847087063,5,0
200,0.1,1800000.0,316227.7660168379,392648.6322955121,5,0
200,0.25,3540000.0,850294.0667792526,1055779.5306060673,5,0
200,0.5,,,,0,5
200,0.75,,,,0,5
220,0.01,680000.0,44721.359549995796,55528.902103955974,5,0
220,0.05,1420000.0,83666.00265340756,103885.06336835696,5,0
220,0.1,2380000.0,148323.96974191326,184168.5332991985,5,0
220,0.25,,,,0,5
220,0.5,,,,0,5
220,0.75,,,,0,5
240,0.01,700000.0,0.0,0.0,5,0
240,0.05,1500000.0,70710.67811865476,87798.90330850845,5,0
240,0.1,2680000.0,130384.04810405297,161893.17847087063,5,0
240,0.25,,,,0,5
240,0.5,,,,0,5
240,0.75,,,,0,5
260,0.01,1080000.0,683373.9825307955,848520.8714176184,5,0
260,0.05,2520000.0,1391761.4738165445,1728100.1161250174,5,0
260,0.1,3400000.0,244948.97427831782,340043.6903291285,4,1
260,0.25,,,,0,5
260,0.5,,,,0,5
260,0.75,,,,0,5
