d,t,n,lambda_max,lambda_min,lambda_median,lambda_mean,beta_floor,effective_rank_excess,effective_rank_centered_excess,buffer_proxy,eta_star,z_normsq_over_d_mean,z_normsq_over_d_std
20,0.1,1000,4.433493679871339,1.322730436205942,2.072650893735013,2.271365743385089,1.5011128196961108,10.609809377832114,10.6038362368132,9.0,16.199990228128144,2.552849625600905,0.8903568277948452
40,0.1,1000,5.318483244364475,0.9985934925619372,2.087780698403589,2.303143530978494,1.330112317060803,20.331322638337628,20.414156266821024,20.0,14.366143928708173,2.591663103015717,0.6183287427551929
60,0.1,1000,5.384187520541911,0.8636861938349355,1.895020906303483,2.203315735189043,1.173707314553108,29.112476960135275,29.18873305241728,31.0,12.136307759852878,2.469733157897431,0.517989335580252
80,0.1,1000,4.470758860069664,0.8311523849279119,1.712770924172316,1.9133453414683257,1.0911560173237886,40.77683648947547,40.87753804200104,39.0,7.676427286042999,2.1155625192221565,0.3774815871069578
100,0.1,1000,4.3003308698775085,0.7652046543230958,1.5797663974397138,1.7826713422875693,1.0143515176621478,50.913946632980846,50.94181312671956,49.0,6.120311100679385,1.955956936202961,0.3267685303163204
120,0.1,1000,4.734649587192253,0.6765401150179676,1.532546400866675,1.718726593616626,0.9383319084687696,60.72253466435251,60.83447394616687,59.0,5.4434178560742845,1.877854643806412,0.2993950135685728
140,0.1,1000,4.444353346651759,0.653856277308153,1.5106675558245215,1.6988240804168586,0.9061533371576064,71.6015599644357,71.68482432133409,68.0,5.258390807018364,1.853545659289896,0.3016826374184382
160,0.1,1000,4.250968814344788,0.183274329616835,1.43277038182323,1.620610097802075,0.8633416861048213,81.77603149369342,81.91120963798218,78.0,4.570539560375547,1.758014885197508,0.2890792506393975
180,0.1,1000,4.049352294317501,0.1815702988726849,1.2970216075267509,1.463861944259007,0.7561876764954889,93.05580429110164,93.05005444371012,87.0,3.378262256282969,1.5665622581234904,0.2696249336363631
200,0.1,1000,4.280170621330992,0.1813029779867576,1.2569173287031457,1.3906987041423138,0.6211487794658449,105.83234182887814,105.85701992418824,94.0,2.8883809715412907,1.4772004748490268,0.2515947618468732
220,0.1,1000,4.374290193864038,0.1812885452665845,1.1570698668647412,1.29236059022842,0.1825363576065727,137.610415636784,137.7682078033192,82.0,2.3144298499727727,1.3570900312823275,0.2328330466792952
240,0.1,1000,4.536534081997247,0.1812783081161642,1.0444309421317517,1.1916480817463513,0.1813772810817418,132.60131608700536,132.76909488697245,107.0,1.8088542654201296,1.2340794956410996,0.2070728417371301
260,0.1,1000,3.9851032751872064,0.1812755495599165,0.9854282638742842,1.1076306489410408,0.1813232255546119,137.45175850239644,137.580330380056,123.0,1.4494320144653396,1.131460371479157,0.1895857943891712
