d,threshold,tau_obs_mean,tau_obs_sd,tau_obs_ci95,obs_n,censored_n,tau_pred,residual_steps,residual_log,theta,kappa
20.0,0.01,1900000.0,187082.86933869706,232294.06353851943,5.0,0.0,422161.2751345231,-1477838.7248654768,-1.5042217555611053,0.370553725107513,1e-06
20.0,0.05,,,,0.0,5.0,676004.0127229298,,,0.5863952509446246,1e-06
20.0,0.1,,,,0.0,5.0,866770.4257552668,,,0.7021865285577539,1e-06
20.0,0.25,,,,0.0,5.0,1352733.267408272,,,0.8714656685381458,1e-06
20.0,0.5,,,,0.0,5.0,2142639.3857461573,,,0.9658122228431161,1e-06
20.0,0.75,,,,0.0,5.0,2142639.3857461573,,,0.9658122228431161,1e-06
40.0,0.01,400000.0,0.0,0.0,5.0,0.0,422841.0579364005,22841.057936400524,0.0555318117674047,0.370553725107513,1e-06
40.0,0.05,1420000.0,130384.04810405297,161893.17847087063,5.0,0.0,694147.148548349,-725852.851451651,-0.7157281829550305,0.5863952509446246,1e-06
40.0,0.1,,,,0.0,5.0,904414.4320152523,,,0.7021865285577539,1e-06
40.0,0.25,,,,0.0,5.0,1457577.2615504072,,,0.8714656685381458,1e-06
40.0,0.5,,,,0.0,5.0,2389323.186213727,,,0.9658122228431161,1e-06
40.0,0.75,,,,0.0,5.0,2389323.186213727,,,0.9658122228431161,1e-06
60.0,0.01,300000.0,0.0,0.0,5.0,0.0,447875.5566339944,147875.5566339944,0.40073294380151175,0.370553725107513,1e-06
60.0,0.05,540000.0,54772.25575051661,68008.73806582569,5.0,0.0,749168.9010895694,209168.90108956944,0.32739532065937316,0.5863952509446246,1e-06
60.0,0.1,900000.0,0.0,0.0,5.0,0.0,986803.4984758174,86803.49847581738,0.09207616659803299,0.7021865285577539,1e-06
60.0,0.25,2840000.0,270185.1217221259,335479.1384926662,5.0,0.0,1618938.1506132095,-1221061.8493867905,-0.5620335804227756,0.8714656685381458,1e-06
60.0,0.5,,,,0.0,5.0,2687357.684003934,,,0.9658122228431161,1e-06
60.0,0.75,,,,0.0,5.0,2687357.684003934,,,0.9658122228431161,1e-06
80.0,0.01,300000.0,0.0,0.0,5.0,0.0,509369.1769438842,209369.17694388417,0.5293905775069753,0.370553725107513,1e-06
80.0,0.05,660000.0,54772.25575051661,68008.73806582569,5.0,0.0,838243.3800582004,178243.38005820045,0.23906865295880475,0.5863952509446246,1e-06
80.0,0.1,980000.0,44721.359549995796,55528.902103955974,5.0,0.0,1094062.4164400795,114062.41644007945,0.11010046310854422,0.7021865285577539,1e-06
