d,threshold,tau_obs_mean,tau_obs_sd,tau_obs_ci95,obs_n,censored_n,tau_pred,residual_steps,residual_log,theta,kappa
20.0,0.01,1900000.0,187082.86933869706,232294.06353851943,5.0,0.0,439270.28819607553,-1460729.7118039245,-1.4644942508874355,0.6666274301427989,1.3593563908785242e-06
20.0,0.05,,,,0.0,5.0,760280.1947169636,,,0.8819366819000688,1.3593563908785242e-06
20.0,0.1,,,,0.0,5.0,1027632.8874554227,,,0.9494241019378501,1.3593563908785242e-06
20.0,0.25,,,,0.0,5.0,1540592.9511601795,,,0.9893534990301607,1.3593563908785242e-06
20.0,0.5,,,,0.0,5.0,2472139.5199087686,,,0.9992400737910081,1.3593563908785242e-06
20.0,0.75,,,,0.0,5.0,2472139.5199087686,,,0.9992400737910081,1.3593563908785242e-06
40.0,0.01,400000.0,0.0,0.0,5.0,0.0,406804.7143610647,6804.714361064718,0.016868705890778334,0.6666274301427989,1.3593563908785242e-06
40.0,0.05,1420000.0,130384.04810405297,161893.17847087063,5.0,0.0,720508.5354829549,-699491.4645170451,-0.6784548886152756,0.8819366819000688,1.3593563908785242e-06
40.0,0.1,,,,0.0,5.0,990461.7053264626,,,0.9494241019378501,1.3593563908785242e-06
40.0,0.25,,,,0.0,5.0,1525227.1335660203,,,0.9893534990301607,1.3593563908785242e-06
40.0,0.5,,,,0.0,5.0,2533155.312490569,,,0.9992400737910081,1.3593563908785242e-06
40.0,0.75,,,,0.0,5.0,2533155.312490569,,,0.9992400737910081,1.3593563908785242e-06
60.0,0.01,300000.0,0.0,0.0,5.0,0.0,405899.63063185464,105899.63063185464,0.30232343919034255,0.6666274301427989,1.3593563908785242e-06
60.0,0.05,540000.0,54772.25575051661,68008.73806582569,5.0,0.0,732963.3950730427,192963.39507304272,0.30552662257255325,0.8819366819000688,1.3593563908785242e-06
60.0,0.1,900000.0,0.0,0.0,5.0,0.0,1023404.9040123102,123404.9040123102,0.12849572491746494,0.9494241019378501,1.3593563908785242e-06
60.0,0.25,2840000.0,270185.1217221259,335479.1384926662,5.0,0.0,1613069.5534409517,-1226930.4465590483,-0.5656651334135495,0.9893534990301607,1.3593563908785242e-06
60.0,0.5,,,,0.0,5.0,2743980.878946773,,,0.9992400737910081,1.3593563908785242e-06
60.0,0.75,,,,0.0,5.0,2743980.878946773,,,0.9992400737910081,1.3593563908785242e-06
80.0,0.01,300000.0,0.0,0.0,5.0,0.0,487110.60768462793,187110.60768462793,0.4847087431407481,0.6666274301427989,1.3593563908785242e-06
80.0,0.05,660000.0,54772.25575051661,68008.73806582569,5.0,0.0,862437.4689045468,202437.4689045468,0.26752281143598927,0.8819366819000688,1.3593563908785242e-06
80.0,0.1,980000.0,44721.359549995796,55528.902103955974,5.0,0.0,1186453.5448916464,206453.54489164636,0.19117135038245447,0.9494241019378501,1.3593563908785242e-06
80.0,0.25,1840000.0,54772.25575051661,68008.73806582569,5.0,0.0,1830061.4846023666,-9938.515397633426,-0.005416007188599973,0.9893534990301607,1.3593563908785242e-06
80.0,0.5,,,,0.0,5.0,3044499.744762639,,,0.9992400737910081,1.3593563908785242e-06
80.0,0.75,,,,0.0,5.0,3044499.744762639,,,0.9992400737910081,1.3593563908785242e-06
100.0,0.01,320000.0,44721.359549995796,55528.902103955974,5.0,0.0,521167.177843553,201167.177843553,0.4877498732674224,0.6666274301427989,1.3593563908785242e-06
100.0,0.05,720000.0,44721.359549995796,55528.902103955974,5.0,0.0,922459.0151583566,202459.01515835663,0.24779173490500633,0.8819366819000688,1.3593563908785242e-06
100.0,0.1,1120000.0,44721.359549995796,55528.902103955974,5.0,0.0,1268954.7219491464,148954.72194914636,0.12486482268558188,0.9494241019378501,1.3593563908785242e-06
100.0,0.25,1740000.0,54772.25575051661,68008.73806582569,5.0,0.0,1959035.4751525573,219035.47515255725,0.11856713437882196,0.9893534990301607,1.3593563908785242e-06
100.0,0.5,3160000.0,54772.25575051661,68008.73806582569,5.0,0.0,3270193.720157985,110193.72015798511,0.034277197194152315,0.9992400737910081,1.3593563908785242e-06
100.0,0.75,,,,0.0,5.0,3270193.720157985,,,0.9992400737910081,1.3593563908785242e-06
120.0,0.01,480000.0,44721.359549995796,55528.902103955974,5.0,0.0,539146.2171124765,59146.21711247647,0.1162007050099439,0.6666274301427989,1.3593563908785242e-06
120.0,0.05,1020000.0,83666.00265340756,103885.06336835696,5.0,0.0,963209.676762936,-56790.323237063945,-0.057286785301077794,0.8819366819000688,1.3593563908785242e-06
120.0,0.1,1440000.0,89442.71909999159,111057.80420791195,5.0,0.0,1331376.410479915,-108623.5895200849,-0.07842981139132416,0.9494241019378501,1.3593563908785242e-06
120.0,0.25,2080000.0,130384.04810405297,161893.17847087063,5.0,0.0,2067018.9453659838,-12981.05463401624,-0.0062604474213548405,0.9893534990301607,1.3593563908785242e-06
120.0,0.5,3660000.0,151657.508881031,188307.6688348442,5.0,0.0,3469412.9784064773,-190587.02159352275,-0.05347773825349496,0.9992400737910081,1.3593563908785242e-06
120.0,0.75,,,,0.0,5.0,3469412.9784064773,,,0.9992400737910081,1.3593563908785242e-06
140.0,0.01,660000.0,54772.25575051661,68008.73806582569,5.0,0.0,542666.4853426742,-117333.51465732581,-0.19574491126127236,0.6666274301427989,1.3593563908785242e-06
140.0,0.05,1100000.0,100000.0,124166.39982037664,5.0,0.0,970713.8998197977,-129286.10018020228,-0.12503367879324237,0.8819366819000688,1.3593563908785242e-06
140.0,0.1,1460000.0,114017.5425099138,141571.47769822748,5.0,0.0,1344576.4415063416,-115423.55849365843,-0.08235738564025767,0.9494241019378501,1.3593563908785242e-06
140.0,0.25,2100000.0,291547.594742265,362004.1521543722,5.0,0.0,2095852.654023676,-4147.3459763240535,-0.001976879394474092,0.9893534990301607,1.3593563908785242e-06
140.0,0.5,3375000.0,170782.5127659933,237084.13581126134,4.0,1.0,3535153.399182803,160153.399182803,0.04636136847653713,0.9992400737910081,1.3593563908785242e-06
140.0,0.75,,,,0.0,5.0,3535153.399182803,,,0.9992400737910081,1.3593563908785242e-06
160.0,0.01,680000.0,44721.359549995796,55528.902103955974,5.0,0.0,565525.3287163761,-114474.6712836239,-0.18433771366763405,0.6666274301427989,1.3593563908785242e-06
160.0,0.05,1040000.0,54772.25575051661,68008.73806582569,5.0,0.0,1011242.1003465216,-28757.89965347841,-0.02804133556428299,0.8819366819000688,1.3593563908785242e-06
160.0,0.1,1260000.0,54772.25575051661,68008.73806582569,5.0,0.0,1401141.9124925558,141141.9124925558,0.1061758349750804,0.9494241019378501,1.3593563908785242e-06
160.0,0.25,1900000.0,122474.48713915891,152072.16137916382,5.0,0.0,2187074.9633679674,287074.9633679674,0.14071113173771138,0.9893534990301607,1.3593563908785242e-06
160.0,0.5,3740000.0,792464.510246358,983974.6522270825,5.0,0.0,3698501.385956318,-41498.61404368188,-0.01115790464601732,0.9992400737910081,1.3593563908785242e-06
160.0,0.75,,,,0.0,5.0,3698501.385956318,,,0.9992400737910081,1.3593563908785242e-06
180.0,0.01,660000.0,54772.25575051661,68008.73806582569,5.0,0.0,618584.6623249205,-41415.33767507947,-0.06480576924933568,0.6666274301427989,1.3593563908785242e-06
180.0,0.05,1020000.0,44721.359549995796,55528.902103955974,5.0,0.0,1108719.3060794112,88719.30607941118,0.08340294360662055,0.8819366819000688,1.3593563908785242e-06
180.0,0.1,1340000.0,114017.5425099138,141571.47769822748,5.0,0.0,1539664.410176606,199664.41017660592,0.13889486324595537,0.9494241019378501,1.3593563908785242e-06
180.0,0.25,2220000.0,327108.54467592255,406158.90342892136,5.0,0.0,2414010.6533254427,194010.6533254427,0.08378233992368506,0.9893534990301607,1.3593563908785242e-06
180.0,0.5,4400000.0,848528.137423857,1665867.063118679,2.0,3.0,4109432.1711921655,-290567.82880783454,-0.06831967982153564,0.9992400737910081,1.3593563908785242e-06
180.0,0.75,,,,0.0,5.0,4109432.1711921655,,,0.9992400737910081,1.3593563908785242e-06
200.0,0.01,660000.0,54772.25575051661,68008.73806582569,5.0,0.0,628446.307872828,-31553.69212717202,-0.04898923964050333,0.6666274301427989,1.3593563908785242e-06
200.0,0.05,1180000.0,130384.04810405297,161893.17847087063,5.0,0.0,1148087.0542473511,-31912.94575264887,-0.027417312229325204,0.8819366819000688,1.3593563908785242e-06
200.0,0.1,1800000.0,316227.7660168379,392648.6322955121,5.0,0.0,1617568.2646813518,-182431.73531864816,-0.10686271457820987,0.9494241019378501,1.3593563908785242e-06
200.0,0.25,3540000.0,850294.0667792526,1055779.5306060673,5.0,0.0,2595524.4713871335,-944475.5286128665,-0.31033812251464105,0.9893534990301607,1.3593563908785242e-06
200.0,0.5,,,,0.0,5.0,4547877.428821157,,,0.9992400737910081,1.3593563908785242e-06
200.0,0.75,,,,0.0,5.0,4547877.428821157,,,0.9992400737910081,1.3593563908785242e-06
220.0,0.01,680000.0,44721.359549995796,55528.902103955974,5.0,0.0,724121.7892306757,44121.78923067567,0.06286679723808396,0.6666274301427989,1.3593563908785242e-06
220.0,0.05,1420000.0,83666.00265340756,103885.06336835696,5.0,0.0,1365543.6059227912,-54456.394077208824,-0.039104276157892776,0.8819366819000688,1.3593563908785242e-06
220.0,0.1,2380000.0,148323.96974191326,184168.5332991985,5.0,0.0,1964717.0835119127,-415282.91648808727,-0.19175223058449833,0.9494241019378501,1.3593563908785242e-06
220.0,0.25,,,,0.0,5.0,3237958.466237315,,,0.9893534990301607,1.3593563908785242e-06
220.0,0.5,,,,0.0,5.0,5859134.7865446275,,,0.9992400737910081,1.3593563908785242e-06
220.0,0.75,,,,0.0,5.0,5859134.7865446275,,,0.9992400737910081,1.3593563908785242e-06
240.0,0.01,700000.0,0.0,0.0,5.0,0.0,713028.5217322506,13028.521732250578,0.018441087000339272,0.6666274301427989,1.3593563908785242e-06
240.0,0.05,1500000.0,70710.67811865476,87798.90330850845,5.0,0.0,1352506.2829841645,-147493.71701583546,-0.1035057309208139,0.8819366819000688,1.3593563908785242e-06
