dataset,vae_prefix,d_latent,n,threshold,memorized_count,memorized_fraction,mean_nn_ratio,mean_pixel_mse,std_pixel_mse,mean_pixel_l2,std_pixel_l2
cifar10,vae_checkpoints/cifar10_resnet_beta005_d,20,1000,0.3333333333333333,25,0.02500000037252903,0.561457633972168,0.10326240211725235,0.03442690521478653,17.55762481689453,2.9934756755828857
cifar10,vae_checkpoints/cifar10_resnet_beta005_d,40,1000,0.3333333333333333,112,0.1120000034570694,0.4539196193218231,0.07358014583587646,0.026717409491539,14.781280517578125,2.749455690383911
cifar10,vae_checkpoints/cifar10_resnet_beta005_d,60,1000,0.3333333333333333,387,0.3869999945163727,0.35902416706085205,0.050703004002571106,0.020182790234684944,12.233235359191895,2.4725875854492188
cifar10,vae_checkpoints/cifar10_resnet_beta005_d,80,1000,0.3333333333333333,614,0.6140000224113464,0.3142141103744507,0.0395500622689724,0.01713825948536396,10.768532752990723,2.3541512489318848
cifar10,vae_checkpoints/cifar10_resnet_beta005_d,100,1000,0.3333333333333333,902,0.9020000100135803,0.25457334518432617,0.027392933145165443,0.012172488495707512,8.957179069519043,1.980899691581726
cifar10,vae_checkpoints/cifar10_resnet_beta005_d,120,1000,0.3333333333333333,925,0.925000011920929,0.2458951473236084,0.02537727542221546,0.011589561589062214,8.609367370605469,1.960009217262268
cifar10,vae_checkpoints/cifar10_resnet_beta005_d,140,1000,0.3333333333333333,959,0.9589999914169312,0.22853563725948334,0.022388925775885582,0.010584545321762562,8.074014663696289,1.895431399345398
cifar10,vae_checkpoints/cifar10_resnet_beta005_d,160,1000,0.3333333333333333,981,0.9810000061988831,0.2072352170944214,0.018523041158914566,0.008692034520208836,7.345644950866699,1.7167513370513916
cifar10,vae_checkpoints/cifar10_resnet_beta005_d,180,1000,0.3333333333333333,996,0.9959999918937683,0.18717323243618011,0.015278544276952744,0.0072814831510186195,6.6673126220703125,1.5764292478561401
cifar10,vae_checkpoints/cifar10_resnet_beta005_d,200,1000,0.3333333333333333,996,0.9959999918937683,0.1906616985797882,0.015734868124127388,0.007240014150738716,6.778279781341553,1.5475256443023682
cifar10,vae_checkpoints/cifar10_resnet_beta005_d,220,1000,0.3333333333333333,996,0.9959999918937683,0.1871003657579422,0.015246910974383354,0.007265990134328604,6.663835525512695,1.560205340385437
cifar10,vae_checkpoints/cifar10_resnet_beta005_d,240,1000,0.3333333333333333,996,0.9959999918937683,0.18989519774913788,0.015702292323112488,0.007270549423992634,6.767295837402344,1.5631986856460571
cifar10,vae_checkpoints/cifar10_resnet_beta005_d,260,1000,0.3333333333333333,997,0.996999979019165,0.17991496622562408,0.014162575826048851,0.006596822757273912,6.427214622497559,1.4834219217300415
