d_latent,dataset,arch,image_channels,image_size,hidden_dims,n_train,n_val,epochs_requested,lr,beta,beta_warmup_frac,max_capacity,capacity_warmup_frac,mse_weight,l1_weight,free_bits,ema_decay,grad_clip,early_stop_patience,early_stop_tol,final_epoch,final_step,final_lr,final_beta,final_capacity,final_train_loss,final_train_recon,final_train_mse,final_train_l1,final_train_kl,final_test_loss,final_test_recon,final_test_mse,final_test_l1,final_test_kl,best_epoch,best_step,best_test_loss,best_test_recon,best_test_mse,best_test_l1,best_test_kl,epochs_since_improve_at_stop
20,cifar10,resnet,3,32,"[32, 64, 128, 256, 512]",50000,10000,200,0.001,0.05,0.0,25.0,0.35,1.0,0.0,0.0,0.0,1.5,20,0.002,42,8428,6.25e-05,0.05,15.357142857142858,137.36199254394532,133.6777546435547,133.6777546435547,465.2130179101562,73.6847576611328,189.7327091064453,186.05504187011718,186.05504187011718,544.0144794921875,73.55333442382812,22,4508,176.81397741699217,173.3681900390625,173.3681900390625,527.6882708007812,68.91575720214844,20
40,cifar10,resnet,3,32,"[32, 64, 128, 256, 512]",50000,10000,200,0.001,0.05,0.0,25.0,0.35,1.0,0.0,0.0,0.0,1.5,20,0.002,36,7252,0.00025,0.05,13.214285714285715,101.9521405029297,95.88841024414063,95.88841024414063,388.62737864257815,121.27461529785157,130.11096948242186,124.06364858398437,124.06364858398437,437.9522231933594,120.94640327148437,22,4508,126.3730548828125,120.437535546875,120.437535546875,433.5382002929687,118.71037392578125,20
60,cifar10,resnet,3,32,"[32, 64, 128, 256, 512]",50000,10000,200,0.001,0.05,0.0,25.0,0.35,1.0,0.0,0.0,0.0,1.5,20,0.002,44,8820,0.000125,0.05,16.071428571428573,79.99218344238281,71.7875367211914,71.7875367211914,335.4997338964844,164.09293455566407,105.44929237060546,97.20812404785157,97.20812404785157,384.88592685546877,164.82337185058594,24,4900,101.74134578857422,93.83992429199219,93.83992429199219,381.396154296875,158.02842280273438,20
80,cifar10,resnet,3,32,"[32, 64, 128, 256, 512]",50000,10000,200,0.001,0.05,0.0,25.0,0.35,1.0,0.0,0.0,0.0,1.5,20,0.002,49,9800,6.25e-05,0.05,17.857142857142858,71.23730349365235,61.364089385986325,61.364089385986325,309.3835968652344,197.46428548828126,87.21180239257812,77.34698675537109,77.34698675537109,342.27206396484377,197.29631975097655,29,5880,84.87915979003907,75.26465144042969,75.26465144042969,341.18003974609377,192.2901658203125,20
100,cifar10,resnet,3,32,"[32, 64, 128, 256, 512]",50000,10000,200,0.001,0.05,0.0,25.0,0.35,1.0,0.0,0.0,0.0,1.5,20,0.002,66,13132,6.25e-05,0.05,23.92857142857143,60.05092843261719,48.50553548828125,48.50553548828125,275.67673791015625,230.90785312988282,78.52367270507813,66.94919311523438,66.94919311523438,316.3928794433594,231.48959252929689,46,9212,75.73473721923828,64.52920281982422,64.52920281982422,312.33158154296876,224.110674609375,20
120,cifar10,resnet,3,32,"[32, 64, 128, 256, 512]",50000,10000,200,0.001,0.05,0.0,25.0,0.35,1.0,0.0,0.0,0.0,1.5,20,0.002,64,12740,6.25e-05,0.05,23.214285714285715,57.38452555786133,44.63709549316406,44.63709549316406,264.2003149511719,254.94859452636717,68.54802260742187,55.80928143920899,55.80928143920899,288.701328515625,254.7748328125,44,8820,67.50715245361329,54.90996417236328,54.90996417236328,289.1409013183594,251.94376904296874,20
140,cifar10,resnet,3,32,"[32, 64, 128, 256, 512]",50000,10000,200,0.001,0.05,0.0,25.0,0.35,1.0,0.0,0.0,0.0,1.5,20,0.002,65,12936,6.25e-05,0.05,23.57142857142857,54.87585251586914,41.03172146362305,41.03172146362305,253.31051152832032,276.88261487304686,61.78543569946289,47.89224004516601,47.89224004516601,267.2155845214844,277.8639149902344,52,10388,61.45585210571289,47.83625250854492,47.83625250854492,268.71551674804687,272.39198798828124,20
160,cifar10,resnet,3,32,"[32, 64, 128, 256, 512]",50000,10000,200,0.001,0.05,0.0,25.0,0.35,1.0,0.0,0.0,0.0,1.5,20,0.002,80,15876,6.25e-05,0.05,25.0,51.14488998291016,36.27107252929687,36.27107252929687,238.78879452636718,297.4763437597656,57.79927024536133,42.89528706665039,42.89528706665039,252.53205341796874,298.07965810546875,60,11956,57.4256580078125,42.78469058837891,42.78469058837891,254.193908984375,292.81934331054686,20
180,cifar10,resnet,3,32,"[32, 64, 128, 256, 512]",50000,10000,200,0.001,0.05,0.0,25.0,0.35,1.0,0.0,0.0,0.0,1.5,20,0.002,101,19992,1.5625e-05,0.05,25.0,50.123775198974606,34.66307961303711,34.66307961303711,233.68129993652343,309.2139048730469,55.19251645507813,39.711615417480466,39.711615417480466,242.79251103515625,309.61802041015625,81,16072,54.896651495361326,39.646652392578126,39.646652392578126,243.22586271972656,304.99997578125,20
200,cifar10,resnet,3,32,"[32, 64, 128, 256, 512]",50000,10000,200,0.001,0.05,0.0,25.0,0.35,1.0,0.0,0.0,0.0,1.5,20,0.002,95,18816,6.25e-05,0.05,25.0,48.88960043457031,33.342813637695315,33.342813637695315,229.4655161328125,310.9357314746094,55.713717248535154,40.15519944458008,40.15519944458008,243.89850417480469,311.17034990234373,75,14896,55.558893939208986,40.334723083496094,40.334723083496094,246.61887416992187,304.48341787109376,20
