d_latent,num_seeds,seeds,max_mem_mean,max_mem_ci95,max_mem_sem,final_mem_mean,final_mem_ci95,final_mem_sem,final_score_error_mean,final_score_error_ci95,final_score_error_sem
5,5,42 43 44 45 46,0.30859999656677245,0.0109787956966019,0.005601426375817296,0.3000799953937531,0.008098951057395942,0.004132117886426501,2.596449966430664,0.17323829016553763,0.0883868827375192
8,5,42 43 44 45 46,0.22615999579429627,0.007636858488591539,0.003896356371730377,0.21715999245643616,0.006721857665858657,0.003429519217274825,2.847075080871582,0.128935079975843,0.06578320406930765
10,5,42 43 44 45 46,0.17551999390125275,0.004528577655022405,0.0023104988035828598,0.17091999351978301,0.005541775900313007,0.0028274366838331668,2.9775410461425778,0.10777165680801071,0.054985539187760564
12,5,42 43 44 45 46,0.13143999725580216,0.004516345379141524,0.0023042578465007776,0.1265199974179268,0.005404200980260673,0.00275724539809218,2.9181849797566732,0.08392172351999487,0.042817205877548406
15,5,42 43 44 45 46,0.08215999603271484,0.0018150908552694073,0.0009260667628925547,0.0800399973988533,0.002846793822411557,0.0014524458277609985,2.832447509765625,0.06976304693684447,0.035593391294308406
20,5,42 43 44 45 46,0.0393999993801117,0.0037332733394391145,0.0019047312956322012,0.036480000242590904,0.006141528170426613,0.0031334327400135784,2.709822311401367,0.06302518517053521,0.03215570671966082
25,5,42 43 44 45 46,0.018399999290704728,0.0008128684406281082,0.00041472879623883073,0.015519999526441097,0.0010040096216581485,0.0005122498069684431,2.6388543090820313,0.02907164391831803,0.014832471386896955
30,5,42 43 44 45 46,0.008519999869167804,0.0012183571396896721,0.0006216107855559552,0.007599999848753214,0.0011428663987100938,0.0005830951013827009,2.586124369303385,0.05201252043202516,0.026537000220421
35,5,42 43 44 45 46,0.0036799998488277197,0.0003635257343458643,0.0001854723134417675,0.0029999999329447745,0.00048009995649803827,0.0002449489573969583,2.530386003766741,0.030494964005778807,0.015558655104989189
40,5,42 43 44 45 46,0.0016399999614804984,7.840000372380017e-05,4.000000189989805e-05,0.001199999963864684,0.0004958451336076707,0.0002529822110243218,2.5028539276123047,0.019490756427805817,0.009944263483574396
