d_latent,d_intrinsic,n,seed,final_step,final_mem_ratio,max_mem_ratio,max_mem_step,final_score_error,min_score_error,min_score_step
5,5,500,42,5000000,0.2895999848842621,0.29899999499320984,4350000,2.522303581237793,0.2227466106414795,50000
5,5,500,43,5000000,0.3027999997138977,0.3285999894142151,4950000,2.409134292602539,0.18434995412826538,50000
5,5,500,44,5000000,0.2924000024795532,0.2994000017642975,4400000,2.931893539428711,0.28996825218200684,50000
5,5,500,45,5000000,0.3125999867916107,0.31299999356269836,4850000,2.54530029296875,0.19820356369018555,50000
5,5,500,46,5000000,0.30300000309944153,0.30300000309944153,5000000,2.5736181259155275,0.2298055648803711,50000
8,5,500,42,5000000,0.22360000014305115,0.22360000014305115,5000000,2.758208990097046,0.8988744020462036,50000
8,5,500,43,5000000,0.21599999070167542,0.2231999933719635,4550000,2.9053454399108887,0.8661600351333618,50000
8,5,500,44,5000000,0.21079999208450317,0.22179999947547913,4950000,3.0153913497924805,0.9783071279525757,50000
8,5,500,45,5000000,0.2263999879360199,0.24159999191761017,4800000,2.641389846801758,0.7069915533065796,50000
8,5,500,46,5000000,0.20899999141693115,0.22059999406337738,4950000,2.9150397777557373,0.9513562917709351,50000
10,5,500,42,5000000,0.16839998960494995,0.16839998960494995,5000000,3.0316530227661134,1.0714012145996095,50000
10,5,500,43,5000000,0.17139999568462372,0.17659999430179596,4700000,3.0010833740234375,1.0367158889770507,50000
10,5,500,44,5000000,0.16259999573230743,0.17219999432563782,4650000,3.135275650024414,1.0875506401062012,50000
10,5,500,45,5000000,0.17219999432563782,0.18039999902248383,4800000,2.8129335403442384,0.8638046264648438,50000
10,5,500,46,5000000,0.17999999225139618,0.17999999225139618,5000000,2.9067596435546874,0.9799013137817383,50000
12,5,500,42,5000000,0.1273999959230423,0.13419999182224274,4950000,2.8172521591186523,0.9655772050221761,50000
12,5,500,43,5000000,0.12359999865293503,0.13199999928474426,4700000,3.0010706583658853,0.9703789552052816,50000
12,5,500,44,5000000,0.1297999918460846,0.13459999859333038,4850000,2.8739026387532554,1.0160231590270996,50000
12,5,500,45,5000000,0.1340000033378601,0.1340000033378601,5000000,2.860734303792318,1.022924820582072,50000
12,5,500,46,5000000,0.11779999732971191,0.12239999324083328,4900000,3.0379651387532554,1.130379358927409,50000
15,5,500,42,5000000,0.07899999618530273,0.07899999618530273,5000000,2.8470865885416665,1.028945541381836,50000
15,5,500,43,5000000,0.07479999959468842,0.08379999548196793,4300000,2.7130467732747396,0.9115769704182942,50000
15,5,500,44,5000000,0.08259999752044678,0.08419999480247498,4800000,2.9347190856933594,0.9878650029500325,50000
15,5,500,45,5000000,0.08159999549388885,0.08159999549388885,4250000,2.847911834716797,1.01150328318278,50000
15,5,500,46,5000000,0.08219999819993973,0.08219999819993973,5000000,2.8194732666015625,0.9089940388997396,50000
20,5,500,42,5000000,0.043800000101327896,0.043800000101327896,5000000,2.601543426513672,0.73445725440979,50000
20,5,500,43,5000000,0.03460000082850456,0.038599997758865356,4400000,2.7944852828979494,0.9082619667053222,50000
20,5,500,44,5000000,0.0279999990016222,0.03700000047683716,4850000,2.7385009765625,0.7666719436645508,50000
20,5,500,45,5000000,0.04360000044107437,0.04360000044107437,5000000,2.6854692459106446,0.7638347625732422,50000
20,5,500,46,5000000,0.03240000084042549,0.03399999812245369,4650000,2.7291126251220703,0.8296130180358887,50000
25,5,500,42,5000000,0.016999999061226845,0.01939999870955944,4950000,2.6359320068359375,0.7140888214111328,50000
25,5,500,43,5000000,0.013799999840557575,0.01719999872148037,4600000,2.696561279296875,0.7600222778320312,50000
25,5,500,44,5000000,0.015599999576807022,0.019199999049305916,4550000,2.6146533203125,0.7089154052734375,50000
25,5,500,45,5000000,0.015399999916553497,0.017799999564886093,4550000,2.621557312011719,0.6774266052246094,50000
25,5,500,46,5000000,0.015799999237060547,0.018400000408291817,4900000,2.625567626953125,0.7635134887695313,50000
30,5,500,42,5000000,0.006000000052154064,0.007400000002235174,4900000,2.5020543416341146,0.63814271291097,50000
30,5,500,43,5000000,0.007799999788403511,0.007799999788403511,5000000,2.588201904296875,0.6422445933024089,50000
30,5,500,44,5000000,0.009599999524652958,0.009599999524652958,5000000,2.669671630859375,0.6415605545043945,50000
30,5,500,45,5000000,0.007199999876320362,0.010400000028312206,4850000,2.5892717997233072,0.6394014358520508,50000
30,5,500,46,5000000,0.007400000002235174,0.007400000002235174,5000000,2.5814221700032554,0.5975661595662435,50000
35,5,500,42,5000000,0.0037999998312443495,0.003999999724328518,4850000,2.567378670828683,0.5235061645507812,50000
35,5,500,43,5000000,0.0026000000070780516,0.0037999998312443495,4950000,2.5017054966517858,0.5673718043736049,50000
35,5,500,44,5000000,0.003000000026077032,0.003999999724328518,4150000,2.567775181361607,0.5755982535226004,50000
35,5,500,45,5000000,0.0031999999191612005,0.003599999938160181,4750000,2.5177370343889507,0.5331700461251395,50000
35,5,500,46,5000000,0.0023999998811632395,0.003000000026077032,3900000,2.4973336356026787,0.5577415466308594,50000
40,5,500,42,5000000,0.0017999999690800905,0.0017999999690800905,5000000,2.5128158569335937,0.5254110813140869,50000
40,5,500,43,5000000,0.0005999999702908099,0.0015999999595806003,4800000,2.498275947570801,0.5127938270568848,50000
40,5,500,44,5000000,0.0005999999702908099,0.0015999999595806003,4600000,2.5080730438232424,0.5117002487182617,50000
40,5,500,45,5000000,0.00139999995008111,0.0015999999595806003,4000000,2.5273359298706053,0.5047722816467285,50000
40,5,500,46,5000000,0.0015999999595806003,0.0015999999595806003,5000000,2.4677688598632814,0.5357356548309327,50000
