d_intrinsic,d_latent,ratio,n,sigma_noise,num_seeds,tau_gen_mean,tau_gen_ci95,tau_gen_sem,tau_gen_n,tau_mem_mean,tau_mem_ci95,tau_mem_sem,tau_mem_n,tau_mem_censored_seeds,effect_mem_minus_gen
5,5,1.0,500,0.5,5,50000.0,0.0,0.0,5,140000.0,19600.0,10000.0,5,0,90000.0
5,8,1.6,500,0.5,5,50000.0,0.0,0.0,5,260000.0,19600.0,10000.0,5,0,210000.0
5,10,2.0,500,0.5,5,50000.0,0.0,0.0,5,300000.0,0.0,0.0,5,0,250000.0
5,12,2.4,500,0.5,5,50000.0,0.0,0.0,5,410000.0,19600.0,10000.0,5,0,360000.0
5,15,3.0,500,0.5,5,50000.0,0.0,0.0,5,580000.0,49970.39123320929,25495.097567963923,5,0,530000.0
5,20,4.0,500,0.5,5,50000.0,0.0,0.0,5,1100000.0,43826.93235899587,22360.679774997894,5,0,1050000.0
5,25,5.0,500,0.5,5,50000.0,0.0,0.0,5,2510000.0,113443.20164734419,57879.18451395112,5,0,2460000.0
5,30,6.0,500,0.5,5,50000.0,0.0,0.0,5,4970000.0,58799.99999999999,29999.999999999996,5,4,4920000.0
5,35,7.0,500,0.5,5,50000.0,0.0,0.0,5,5000000.0,0.0,0.0,5,5,4950000.0
5,40,8.0,500,0.5,5,50000.0,0.0,0.0,5,5000000.0,0.0,0.0,5,5,4950000.0
