width,experiment,config,d_intrinsic,d_latent,p,seed,bulk,count,eig_log10_median,pr_mean,pr_median,pr_q10,pr_q90,pr_over_p_median,maxabs_median
p_n_plus_d_plus_r,exp2_main_gmm,gmm_main,5,5,805,42,signal,5,1.848577783408554,352.483410355146,340.20847612974546,312.1977792730724,399.09792074825526,0.422619225005895,0.08583467936561533
p_n_plus_d_plus_r,exp2_main_gmm,gmm_main,5,5,805,42,sample,500,-2.814415863331432,193.71198804890534,197.9623355799209,153.8598199888343,227.91807186642333,0.24591594481977752,0.1454027245641422
p_n_plus_d_plus_r,exp2_main_gmm,gmm_main,5,5,805,42,rank-null,300,-5.115305241744837,132.18279277342168,139.1156115604843,51.09010984935594,196.61501260643143,0.17281442429873825,0.17082507270547603
p_n_plus_d_plus_r,exp2_main_gmm,gmm_main,5,10,810,139,signal,5,1.7773991660372643,345.3005539485447,343.1784461158863,322.24703991103576,366.79922261607015,0.42367709397023,0.08592953320449084
p_n_plus_d_plus_r,exp2_main_gmm,gmm_main,5,10,810,139,noise-dim,5,0.8301662774525128,253.66825309497352,248.819802000942,238.57518403143231,274.0156903965798,0.30718494074190367,0.12041716678026773
p_n_plus_d_plus_r,exp2_main_gmm,gmm_main,5,10,810,139,sample,500,-2.298486849681214,225.01243885324936,228.68254571365236,188.4238358441671,257.4645521901205,0.28232413051068195,0.1347771968350393
p_n_plus_d_plus_r,exp2_main_gmm,gmm_main,5,10,810,139,rank-null,300,-3.8504141593089187,166.5076070916677,185.57147354633486,61.03617141356313,245.63295473354503,0.22910058462510477,0.15241039777858545
p_n_plus_d_plus_r,exp2_main_gmm,gmm_main,5,20,820,236,signal,5,1.6022250058563767,334.0927221179684,337.99513855428575,301.9672358584053,367.4570845836353,0.41218919335888504,0.09634999377279538
p_n_plus_d_plus_r,exp2_main_gmm,gmm_main,5,20,820,236,noise-dim,15,0.6178120379623473,266.31386492054236,261.69460017856323,247.41867654677696,289.8743027481646,0.31913975631532104,0.11438501391328118
p_n_plus_d_plus_r,exp2_main_gmm,gmm_main,5,20,820,236,sample,500,-2.099214027067978,243.1726918578295,248.53300392959108,203.353072292076,279.8930859231317,0.30308902918242814,0.1268360415699045
p_n_plus_d_plus_r,exp2_main_gmm,gmm_main,5,20,820,236,rank-null,300,-3.339778730387149,200.40986982350267,221.1679835628221,98.7133230855037,269.7206526084372,0.2697170531253928,0.13949007576788372
p_n_plus_d_plus_r,exp2_main_gmm,gmm_main,5,40,840,333,signal,5,1.4347567980663127,333.34319282916016,335.03772055919495,316.72946693765397,349.9916278239441,0.3988544292371368,0.10024786672688196
p_n_plus_d_plus_r,exp2_main_gmm,gmm_main,5,40,840,333,noise-dim,35,0.40635839913934546,277.444460556918,274.7471653242107,262.82512064797254,298.4583612315657,0.32707995871929846,0.11736443080016094
p_n_plus_d_plus_r,exp2_main_gmm,gmm_main,5,40,840,333,sample,500,-2.0902113670970053,250.36392624048062,261.2165839101947,197.96661191198424,289.51508000759407,0.31097212370261273,0.12410793515015783
p_n_plus_d_plus_r,exp2_main_gmm,gmm_main,5,40,840,333,rank-null,300,-3.094072176061819,204.9185363468118,228.6293723390196,92.92068635840066,271.50943159913817,0.2721778242131186,0.1386610552050242
p_n_plus_d_plus_r,exp2_main_gmm,gmm_main,5,100,900,430,signal,5,1.1680270632829117,331.3808246355301,342.51963297916694,312.41656158539683,344.102073044343,0.38057736997685215,0.09490539654440486
p_n_plus_d_plus_r,exp2_main_gmm,gmm_main,5,100,900,430,noise-dim,95,0.08577143173158333,303.48428591691066,304.7702209864373,282.1192844646836,325.5783489880612,0.33863357887381923,0.11144649510877068
p_n_plus_d_plus_r,exp2_main_gmm,gmm_main,5,100,900,430,sample,500,-2.2813415592124286,270.9325777073262,277.8125139129138,225.06167088526365,308.7733450776843,0.30868057101434865,0.1194482255710292
p_n_plus_d_plus_r,exp2_main_gmm,gmm_main,5,100,900,430,rank-null,300,-3.0875073613154056,206.03762471038073,233.26728295139395,90.73162962482382,278.23348733585595,0.2591858699459933,0.13731539455882608
p_n_plus_d_plus_r,exp2_main_gmm,gmm_main,5,200,1000,527,signal,5,0.9556297507413727,352.32488097783414,351.1719327173633,335.030027731344,370.40427012609024,0.3511719327173633,0.10106998358850637
p_n_plus_d_plus_r,exp2_main_gmm,gmm_main,5,200,1000,527,noise-dim,195,-0.18659541407088917,335.77169541278016,335.47729893182157,315.50787388893855,355.78931266002627,0.33547729893182154,0.10848983704774882
p_n_plus_d_plus_r,exp2_main_gmm,gmm_main,5,200,1000,527,sample,500,-2.5209896929654843,307.342362371577,310.51187787138286,270.60850076276125,342.83720225019937,0.31051187787138285,0.11518758934814366
p_n_plus_d_plus_r,exp2_main_gmm,gmm_main,5,200,1000,527,rank-null,300,-3.1307071423362656,231.59747547007427,260.20748490690823,105.13351153293796,306.9325427128786,0.26020748490690826,0.13259249656160554
p_n_plus_d_plus_r,exp2_main_gmm,gmm_main,5,500,1300,624,signal,5,0.6427959926898842,439.6231373364808,439.55160740326795,435.1327122012973,443.9025295111307,0.3381166210794369,0.10193752540203933
p_n_plus_d_plus_r,exp2_main_gmm,gmm_main,5,500,1300,624,noise-dim,495,-0.6204142241276062,435.0367419784652,434.36187896938225,409.67514235635485,461.37835191208865,0.3341245222841402,0.0967629189554573
p_n_plus_d_plus_r,exp2_main_gmm,gmm_main,5,500,1300,624,sample,500,-2.9503720898946737,409.39136408833537,410.26527435992386,375.00021745593017,440.2400102775866,0.3155886725845568,0.10115418281641853
p_n_plus_d_plus_r,exp2_main_gmm,gmm_main,5,500,1300,624,rank-null,300,-3.168206089498616,339.20310957803946,363.25725999343257,210.50679994584297,419.03152541864273,0.2794286615334097,0.11168249363097243
p_n_plus_d_plus_r,exp2_main_gmm,gmm_main,5,1000,1800,721,signal,5,0.5750660602867801,625.2132407719976,624.5388470238865,600.2710763505681,647.0189472482174,0.34696602612438143,0.08031720516227539
p_n_plus_d_plus_r,exp2_main_gmm,gmm_main,5,1000,1800,721,noise-dim,995,-1.372977164920423,601.6702588716863,601.5964314559104,572.6437055915587,630.4512678468755,0.334220239697728,0.0842027991355581
p_n_plus_d_plus_r,exp2_main_gmm,gmm_main,5,1000,1800,721,sample,500,-3.0639468049597687,569.5930406869503,571.1803603621403,534.5473355723634,602.857070192649,0.31732242242341124,0.08920603355641785
p_n_plus_d_plus_r,exp2_main_gmm,gmm_main,5,1000,1800,721,rank-null,300,-3.182275821913186,496.06782967517773,533.03379064825,362.24556009028976,587.2678082203728,0.29612988369347226,0.09396666150937755
p_n_plus_d_plus_r,exp3_main_gmm,gmm_main,2,20,820,42,signal,2,1.9575413160602988,374.7868969125594,374.7868969125594,371.6538492504096,377.91994457470923,0.4570571913567798,0.08066386792730693
p_n_plus_d_plus_r,exp3_main_gmm,gmm_main,2,20,820,42,noise-dim,18,0.6839859314483996,269.22224302028764,270.36247281062606,248.41449018175595,287.3742180033163,0.32971033269588546,0.11021378245774976
p_n_plus_d_plus_r,exp3_main_gmm,gmm_main,2,20,820,42,sample,500,-2.331340303056875,236.06953548473138,243.0909405351356,187.62786184554827,271.09748322774357,0.2964523665062629,0.13006603308235576
p_n_plus_d_plus_r,exp3_main_gmm,gmm_main,2,20,820,42,rank-null,300,-3.545720220419271,196.03093293457448,219.4388874578089,86.54773168894074,259.859205230695,0.2676083993387913,0.14022263599762202
p_n_plus_d_plus_r,exp3_main_gmm,gmm_main,5,20,820,139,signal,5,1.604200244038719,334.6764661525806,337.44390019098995,324.4057422401541,342.46811977811876,0.4115169514524268,0.09608530933837092
p_n_plus_d_plus_r,exp3_main_gmm,gmm_main,5,20,820,139,noise-dim,15,0.6348042019930098,259.8465533519205,261.72871544687956,240.9702579679241,278.21698912953485,0.31918136030107264,0.12042391165035483
p_n_plus_d_plus_r,exp3_main_gmm,gmm_main,5,20,820,139,sample,500,-2.081598179347944,241.380014835029,248.88482894886204,201.36735637979726,274.6374351816259,0.30351808408397807,0.1279298920443957
p_n_plus_d_plus_r,exp3_main_gmm,gmm_main,5,20,820,139,rank-null,300,-3.317644277992593,200.42915397344564,226.01378742763006,94.00576003044903,266.3297599650725,0.2756265700336952,0.14130469050475547
p_n_plus_d_plus_r,exp3_main_gmm,gmm_main,8,20,820,236,signal,8,1.400144397883166,314.8235231030021,316.7227092435669,288.2379054840727,340.83238953184747,0.38624720639459376,0.09946132761269252
p_n_plus_d_plus_r,exp3_main_gmm,gmm_main,8,20,820,236,noise-dim,12,0.6040195003095306,273.00582797635644,275.91688940949507,255.94700529536314,288.97298744708354,0.33648401147499396,0.11456386978003999
p_n_plus_d_plus_r,exp3_main_gmm,gmm_main,8,20,820,236,sample,500,-1.9264023724011028,248.14314753859082,253.65705118962194,205.95395698053025,281.99671674727057,0.309337867304417,0.12667140129852195
p_n_plus_d_plus_r,exp3_main_gmm,gmm_main,8,20,820,236,rank-null,300,-3.2111255365760885,204.71730501029685,227.72689252392053,96.73488099708143,269.51065781147264,0.277715722590147,0.13433280306614223
p_n_plus_d_plus_r,exp3_main_gmm,gmm_main,12,20,820,333,signal,12,1.2730941149568626,304.97000308785937,306.30457767110954,286.12829384675075,316.52966410539966,0.373542167891597,0.10307810349464691
p_n_plus_d_plus_r,exp3_main_gmm,gmm_main,12,20,820,333,noise-dim,8,0.5653490726984005,271.05237330362434,263.8965297800404,259.1775688818855,291.02460702411463,0.32182503631712245,0.12329265711250242
p_n_plus_d_plus_r,exp3_main_gmm,gmm_main,12,20,820,333,sample,500,-1.7405022647372508,250.78430869679113,256.4851594006639,213.80598501003735,285.17125803447516,0.3127867797569072,0.12362397472014142
p_n_plus_d_plus_r,exp3_main_gmm,gmm_main,12,20,820,333,rank-null,300,-3.0820139837064424,209.2731074245665,234.98989622221353,103.12092503904364,272.23789978370627,0.28657304417343116,0.13477418795997556
p_n_plus_d_plus_r,exp3_main_gmm,gmm_main,16,20,820,430,signal,16,1.2149837898230031,302.4857335034677,296.9907028457287,283.13085476671085,324.95418963162086,0.3621837839582058,0.10237764037010263
p_n_plus_d_plus_r,exp3_main_gmm,gmm_main,16,20,820,430,noise-dim,4,0.5327168708963677,270.444113053435,276.04689539352376,251.46360931639327,284.9423909184057,0.3366425553579558,0.11615108279330397
